          region3_s1  |                  fc  |CLAS12 Drift Chambers, Sector 1 Region 3  |               215.1179*cm   0.0000*cm 417.9786*cm  |ordered: zxy   90.0000*deg   25.0000*deg    0.0000*deg  | aa0000   |              G4Trap  |19.2700*cm    -25.0000*deg     90.0000*deg    202.1329*cm     15.2695*cm    221.9240*cm      0.0000*deg    202.1329*cm     15.2695*cm    221.9240*cm      0.0000*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s2  |                  fc  |CLAS12 Drift Chambers, Sector 2 Region 3  |               107.5590*cm 186.2976*cm 417.9786*cm  |ordered: zxy   30.0000*deg   25.0000*deg    0.0000*deg  | aa0000   |              G4Trap  |19.2700*cm    -25.0000*deg     90.0000*deg    202.1329*cm     15.2695*cm    221.9240*cm      0.0000*deg    202.1329*cm     15.2695*cm    221.9240*cm      0.0000*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s3  |                  fc  |CLAS12 Drift Chambers, Sector 3 Region 3  |              -107.5590*cm 186.2976*cm 417.9786*cm  |ordered: zxy  -30.0000*deg   25.0000*deg    0.0000*deg  | aa0000   |              G4Trap  |19.2700*cm    -25.0000*deg     90.0000*deg    202.1329*cm     15.2695*cm    221.9240*cm      0.0000*deg    202.1329*cm     15.2695*cm    221.9240*cm      0.0000*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s4  |                  fc  |CLAS12 Drift Chambers, Sector 4 Region 3  |              -215.1179*cm   0.0000*cm 417.9786*cm  |ordered: zxy  -90.0000*deg   25.0000*deg    0.0000*deg  | aa0000   |              G4Trap  |19.2700*cm    -25.0000*deg     90.0000*deg    202.1329*cm     15.2695*cm    221.9240*cm      0.0000*deg    202.1329*cm     15.2695*cm    221.9240*cm      0.0000*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s5  |                  fc  |CLAS12 Drift Chambers, Sector 5 Region 3  |             -107.5590*cm -186.2976*cm 417.9786*cm  |ordered: zxy  -150.0000*deg   25.0000*deg    0.0000*deg  | aa0000   |              G4Trap  |19.2700*cm    -25.0000*deg     90.0000*deg    202.1329*cm     15.2695*cm    221.9240*cm      0.0000*deg    202.1329*cm     15.2695*cm    221.9240*cm      0.0000*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s6  |                  fc  |CLAS12 Drift Chambers, Sector 6 Region 3  |              107.5590*cm -186.2976*cm 417.9786*cm  |ordered: zxy  -210.0000*deg   25.0000*deg    0.0000*deg  | aa0000   |              G4Trap  |19.2700*cm    -25.0000*deg     90.0000*deg    202.1329*cm     15.2695*cm    221.9240*cm      0.0000*deg    202.1329*cm     15.2695*cm    221.9240*cm      0.0000*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       sl1_layer1_s1  |          region1_s1  |Region 1, Super Layer 1, layer 1, Sector 1  |                -2.5084*cm  -5.7109*cm  -8.3906*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s2  |          region1_s2  |Region 1, Super Layer 1, layer 1, Sector 2  |                -2.5084*cm  -5.7109*cm  -8.3906*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s3  |          region1_s3  |Region 1, Super Layer 1, layer 1, Sector 3  |                -2.5084*cm  -5.7109*cm  -8.3906*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s4  |          region1_s4  |Region 1, Super Layer 1, layer 1, Sector 4  |                -2.5084*cm  -5.7109*cm  -8.3906*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s5  |          region1_s5  |Region 1, Super Layer 1, layer 1, Sector 5  |                -2.5084*cm  -5.7109*cm  -8.3906*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s6  |          region1_s6  |Region 1, Super Layer 1, layer 1, Sector 6  |                -2.5084*cm  -5.7109*cm  -8.3906*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg     75.5877*cm      7.4988*cm     86.1008*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer2_s1  |          region1_s1  |Region 1, Super Layer 1, layer 2, Sector 1  |                -2.5047*cm  -6.3839*cm  -7.2320*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s2  |          region1_s2  |Region 1, Super Layer 1, layer 2, Sector 2  |                -2.5047*cm  -6.3839*cm  -7.2320*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s3  |          region1_s3  |Region 1, Super Layer 1, layer 2, Sector 3  |                -2.5047*cm  -6.3839*cm  -7.2320*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s4  |          region1_s4  |Region 1, Super Layer 1, layer 2, Sector 4  |                -2.5047*cm  -6.3839*cm  -7.2320*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 2 wire manual 1 
