  FMT_innerPhRes1281  |                 FMT  | innerPhotoResist128, Layer 1,  |                              0*mm 0*mm -34.599*mm  |                       0*deg 0*deg 0*deg  | aa00aa   |                Tube  |                  25.000*mm 48.000*mm 0.064*mm 0*deg 360*deg  |             myPhRes  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           FMT_Gas11  |                 FMT  |                Gas1, Layer 1,  |                              0*mm 0*mm -34.599*mm  |                       0*deg 0*deg 0*deg  |ffcc004   |                Tube  |                 48.000*mm 193.000*mm 0.064*mm 0*deg 360*deg  |          myfmtMMGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  FMT_outerPhRes1281  |                 FMT  | outerPhotoResist128, Layer 1,  |                              0*mm 0*mm -34.599*mm  |                       0*deg 0*deg 0*deg  | aa00aa   |                Tube  |                193.000*mm 225.000*mm 0.064*mm 0*deg 360*deg  |             myPhRes  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           FMT_Mesh1  |                 FMT  |                Mesh, Layer 1,  |                              0*mm 0*mm -34.526*mm  |                       0*deg 0*deg 0*deg  | 252020   |                Tube  |                 39.000*mm 204.000*mm 0.009*mm 0*deg 360*deg  |         myfmtMMMesh  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   FMT_innerPhRes641  |                 FMT  |  innerPhotoResist64, Layer 1,  |                              0*mm 0*mm -34.485*mm  |                       0*deg 0*deg 0*deg  | aa00aa   |                Tube  |                  25.000*mm 48.000*mm 0.032*mm 0*deg 360*deg  |             myPhRes  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   FMT_outerPhRes641  |                 FMT  |  outerPhotoResist64, Layer 1,  |                              0*mm 0*mm -34.485*mm  |                       0*deg 0*deg 0*deg  | aa00aa   |                Tube  |                193.000*mm 204.000*mm 0.032*mm 0*deg 360*deg  |             myPhRes  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      FMT_innerPeek1  |                 FMT  |          inner PEEK, Layer 1,  |                              0*mm 0*mm -31.953*mm  |                       0*deg 0*deg 0*deg  | 6ccecb   |                Tube  |                    26.000*mm 39.000*mm 2.5*mm 0*deg 360*deg  |    myFlangeRohacell  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           FMT_Gas21  |                 FMT  |                Gas2, Layer 1,  |                              0*mm 0*mm -31.953*mm  |                       0*deg 0*deg 0*deg  |ffcc004   |                Tube  |                   39.000*mm 195.000*mm 2.5*mm 0*deg 360*deg  |          myfmtMMGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                 fmt  |                 fmt  |disk manual 1 type manual 1 segment manual 1 strip manual 1 
      FMT_outerPeek1  |                 FMT  |          outer PEEK, Layer 1,  |                              0*mm 0*mm -31.953*mm  |                       0*deg 0*deg 0*deg  | b2577a   |                Tube  |                  191.000*mm 204.000*mm 2.5*mm 0*deg 360*deg  |    myFlangeRohacell  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
FMT_Drift_Cu_Electrode1  |                 FMT  |  Drift Cu Electrode, Layer 1,  |                             0*mm 0*mm -29.4485*mm  |                       0*deg 0*deg 0*deg  | 666600   |                Tube  |                42.000*mm 185.000*mm 0.0045*mm 0*deg 360*deg  |  myfmtSlimElecDrift  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
