sensorPhysical1_m2_s5_r1  |                root  |SVT Physical Sensor 1, Module 2, Sector 5, Region 1  |                -4.0424*cm   5.5639*cm -16.4848*cm  |ordered: zyx 144*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 5 module manual 1 strip manual 1 
sensorPhysical2_m2_s5_r1  |                root  |SVT Physical Sensor 2, Module 2, Sector 5, Region 1  |                -4.0424*cm   5.5639*cm  -5.3112*cm  |ordered: zyx 144*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 5 module manual 2 strip manual 1 
sensorPhysical3_m2_s5_r1  |                root  |SVT Physical Sensor 3, Module 2, Sector 5, Region 1  |                -4.0424*cm   5.5639*cm   5.8625*cm  |ordered: zyx 144*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 5 module manual 3 strip manual 1 
sensorPhysical1_m1_s6_r1  |                root  |SVT Physical Sensor 1, Module 1, Sector 6, Region 1  |                 0.0000*cm   6.5292*cm -16.4848*cm  |ordered: zyx 180*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 6 module manual 1 strip manual 1 
sensorPhysical2_m1_s6_r1  |                root  |SVT Physical Sensor 2, Module 1, Sector 6, Region 1  |                 0.0000*cm   6.5292*cm  -5.3112*cm  |ordered: zyx 180*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 6 module manual 2 strip manual 1 
sensorPhysical3_m1_s6_r1  |                root  |SVT Physical Sensor 3, Module 1, Sector 6, Region 1  |                 0.0000*cm   6.5292*cm   5.8625*cm  |ordered: zyx 180*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 6 module manual 3 strip manual 1 
sensorPhysical1_m2_s6_r1  |                root  |SVT Physical Sensor 1, Module 2, Sector 6, Region 1  |                 0.0000*cm   6.8774*cm -16.4848*cm  |ordered: zyx 180*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 6 module manual 1 strip manual 1 
sensorPhysical2_m2_s6_r1  |                root  |SVT Physical Sensor 2, Module 2, Sector 6, Region 1  |                 0.0000*cm   6.8774*cm  -5.3112*cm  |ordered: zyx 180*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 6 module manual 2 strip manual 1 
sensorPhysical3_m2_s6_r1  |                root  |SVT Physical Sensor 3, Module 2, Sector 6, Region 1  |                 0.0000*cm   6.8774*cm   5.8625*cm  |ordered: zyx 180*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 6 module manual 3 strip manual 1 
sensorPhysical1_m1_s7_r1  |                root  |SVT Physical Sensor 1, Module 1, Sector 7, Region 1  |                 3.8378*cm   5.2822*cm -16.4848*cm  |ordered: zyx -144*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 7 module manual 1 strip manual 1 
sensorPhysical2_m1_s7_r1  |                root  |SVT Physical Sensor 2, Module 1, Sector 7, Region 1  |                 3.8378*cm   5.2822*cm  -5.3112*cm  |ordered: zyx -144*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 7 module manual 2 strip manual 1 
sensorPhysical3_m1_s7_r1  |                root  |SVT Physical Sensor 3, Module 1, Sector 7, Region 1  |                 3.8378*cm   5.2822*cm   5.8625*cm  |ordered: zyx -144*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 7 module manual 3 strip manual 1 
sensorPhysical1_m2_s7_r1  |                root  |SVT Physical Sensor 1, Module 2, Sector 7, Region 1  |                 4.0424*cm   5.5639*cm -16.4848*cm  |ordered: zyx -144*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 7 module manual 1 strip manual 1 
sensorPhysical2_m2_s7_r1  |                root  |SVT Physical Sensor 2, Module 2, Sector 7, Region 1  |                 4.0424*cm   5.5639*cm  -5.3112*cm  |ordered: zyx -144*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 7 module manual 2 strip manual 1 
sensorPhysical3_m2_s7_r1  |                root  |SVT Physical Sensor 3, Module 2, Sector 7, Region 1  |                 4.0424*cm   5.5639*cm   5.8625*cm  |ordered: zyx -144*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 7 module manual 3 strip manual 1 
sensorPhysical1_m1_s8_r1  |                root  |SVT Physical Sensor 1, Module 1, Sector 8, Region 1  |                 6.2096*cm   2.0176*cm -16.4848*cm  |ordered: zyx -108*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 8 module manual 1 strip manual 1 
sensorPhysical2_m1_s8_r1  |                root  |SVT Physical Sensor 2, Module 1, Sector 8, Region 1  |                 6.2096*cm   2.0176*cm  -5.3112*cm  |ordered: zyx -108*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 8 module manual 2 strip manual 1 
sensorPhysical3_m1_s8_r1  |                root  |SVT Physical Sensor 3, Module 1, Sector 8, Region 1  |                 6.2096*cm   2.0176*cm   5.8625*cm  |ordered: zyx -108*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 8 module manual 3 strip manual 1 
sensorPhysical1_m2_s8_r1  |                root  |SVT Physical Sensor 1, Module 2, Sector 8, Region 1  |                 6.5408*cm   2.1252*cm -16.4848*cm  |ordered: zyx -108*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 8 module manual 1 strip manual 1 
sensorPhysical2_m2_s8_r1  |                root  |SVT Physical Sensor 2, Module 2, Sector 8, Region 1  |                 6.5408*cm   2.1252*cm  -5.3112*cm  |ordered: zyx -108*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 8 module manual 2 strip manual 1 
sensorPhysical3_m2_s8_r1  |                root  |SVT Physical Sensor 3, Module 2, Sector 8, Region 1  |                 6.5408*cm   2.1252*cm   5.8625*cm  |ordered: zyx -108*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 8 module manual 3 strip manual 1 
sensorPhysical1_m1_s9_r1  |                root  |SVT Physical Sensor 1, Module 1, Sector 9, Region 1  |                 6.2096*cm  -2.0176*cm -16.4848*cm  |ordered: zyx -72*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 9 module manual 1 strip manual 1 
sensorPhysical2_m1_s9_r1  |                root  |SVT Physical Sensor 2, Module 1, Sector 9, Region 1  |                 6.2096*cm  -2.0176*cm  -5.3112*cm  |ordered: zyx -72*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 9 module manual 2 strip manual 1 
sensorPhysical3_m1_s9_r1  |                root  |SVT Physical Sensor 3, Module 1, Sector 9, Region 1  |                 6.2096*cm  -2.0176*cm   5.8625*cm  |ordered: zyx -72*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 9 module manual 3 strip manual 1 
sensorPhysical1_m2_s9_r1  |                root  |SVT Physical Sensor 1, Module 2, Sector 9, Region 1  |                 6.5408*cm  -2.1252*cm -16.4848*cm  |ordered: zyx -72*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 9 module manual 1 strip manual 1 
sensorPhysical2_m2_s9_r1  |                root  |SVT Physical Sensor 2, Module 2, Sector 9, Region 1  |                 6.5408*cm  -2.1252*cm  -5.3112*cm  |ordered: zyx -72*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 9 module manual 2 strip manual 1 
sensorPhysical3_m2_s9_r1  |                root  |SVT Physical Sensor 3, Module 2, Sector 9, Region 1  |                 6.5408*cm  -2.1252*cm   5.8625*cm  |ordered: zyx -72*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 9 module manual 3 strip manual 1 
