  AlBottom_MAPMT_0_3  |           MAPMT_0_3  |             PMT mother volume  |                                0*cm -2.55*cm 0*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    AlLeft_MAPMT_0_3  |           MAPMT_0_3  |             PMT mother volume  |                                 2.55*cm 0*cm 0*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
   AlRight_MAPMT_0_3  |           MAPMT_0_3  |             PMT mother volume  |                                -2.55*cm 0*cm 0*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    Socket_MAPMT_0_3  |           MAPMT_0_3  |             PMT mother volume  |                                0*cm 0*cm 1.215*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    Window_MAPMT_0_3  |           MAPMT_0_3  |             PMT mother volume  |                               0*cm 0*cm -1.275*cm  |                                   0 0 0  | 99bbff   |                 Box  |                                      2.5*cm 2.5*cm 0.075*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
Photocathode_MAPMT_0_3  |           MAPMT_0_3  |             PMT mother volume  |                               0*cm 0*cm -1.195*cm  |                                   0 0 0  | 999966   |                 Box  |                                    2.45*cm 2.45*cm 0.005*cm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                rich  |                rich  |sector manual 4 pad manual 4 pixel manual 1 
           MAPMT_0_4  |             RICH_s4  |             PMT mother volume  |             -44.052953*cm -7.95*cm 695.0983587*cm  |       ordered: yzx 0*deg -90*deg 25*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     AlTop_MAPMT_0_4  |           MAPMT_0_4  |             PMT mother volume  |                                 0*cm 2.55*cm 0*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
  AlBottom_MAPMT_0_4  |           MAPMT_0_4  |             PMT mother volume  |                                0*cm -2.55*cm 0*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    AlLeft_MAPMT_0_4  |           MAPMT_0_4  |             PMT mother volume  |                                 2.55*cm 0*cm 0*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
