           eclid3_s3  |               ec_s3  |        Stainless Steel Skin 2  |                             0*mm 0*mm -241.114*mm  |                       0*deg 0*deg 0*deg  | FCFFF0   |              G4Trap  |0.875*mm 0*deg 0*deg 1864.65*mm 0.001*mm 1909.27940772151*mm 0*deg 1864.65*mm 0.001*mm  1909.27940772151*mm  0*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           eclid1_s4  |               ec_s4  |        Stainless Steel Skin 1  |                             0*mm 0*mm -319.064*mm  |                       0*deg 0*deg 0*deg  | FCFFF0   |              G4Trap  |0.875*mm 0*deg 0*deg 1864.65*mm 0.001*mm 1909.27940772151*mm 0*deg 1864.65*mm 0.001*mm  1909.27940772151*mm  0*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           eclid2_s4  |               ec_s4  |                   Last-a-Foam  |                             0*mm 0*mm -280.089*mm  |                       0*deg 0*deg 0*deg  | EED18C   |              G4Trap  |38.1*mm 0*deg 0*deg 1864.65*mm 0.001*mm 1909.27940772151*mm 0*deg 1864.65*mm 0.001*mm  1909.27940772151*mm  0*deg  |           LastaFoam  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           eclid3_s4  |               ec_s4  |        Stainless Steel Skin 2  |                             0*mm 0*mm -241.114*mm  |                       0*deg 0*deg 0*deg  | FCFFF0   |              G4Trap  |0.875*mm 0*deg 0*deg 1864.65*mm 0.001*mm 1909.27940772151*mm 0*deg 1864.65*mm 0.001*mm  1909.27940772151*mm  0*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           eclid1_s5  |               ec_s5  |        Stainless Steel Skin 1  |                             0*mm 0*mm -319.064*mm  |                       0*deg 0*deg 0*deg  | FCFFF0   |              G4Trap  |0.875*mm 0*deg 0*deg 1864.65*mm 0.001*mm 1909.27940772151*mm 0*deg 1864.65*mm 0.001*mm  1909.27940772151*mm  0*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           eclid2_s5  |               ec_s5  |                   Last-a-Foam  |                             0*mm 0*mm -280.089*mm  |                       0*deg 0*deg 0*deg  | EED18C   |              G4Trap  |38.1*mm 0*deg 0*deg 1864.65*mm 0.001*mm 1909.27940772151*mm 0*deg 1864.65*mm 0.001*mm  1909.27940772151*mm  0*deg  |           LastaFoam  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           eclid3_s5  |               ec_s5  |        Stainless Steel Skin 2  |                             0*mm 0*mm -241.114*mm  |                       0*deg 0*deg 0*deg  | FCFFF0   |              G4Trap  |0.875*mm 0*deg 0*deg 1864.65*mm 0.001*mm 1909.27940772151*mm 0*deg 1864.65*mm 0.001*mm  1909.27940772151*mm  0*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           eclid1_s6  |               ec_s6  |        Stainless Steel Skin 1  |                             0*mm 0*mm -319.064*mm  |                       0*deg 0*deg 0*deg  | FCFFF0   |              G4Trap  |0.875*mm 0*deg 0*deg 1864.65*mm 0.001*mm 1909.27940772151*mm 0*deg 1864.65*mm 0.001*mm  1909.27940772151*mm  0*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           eclid2_s6  |               ec_s6  |                   Last-a-Foam  |                             0*mm 0*mm -280.089*mm  |                       0*deg 0*deg 0*deg  | EED18C   |              G4Trap  |38.1*mm 0*deg 0*deg 1864.65*mm 0.001*mm 1909.27940772151*mm 0*deg 1864.65*mm 0.001*mm  1909.27940772151*mm  0*deg  |           LastaFoam  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           eclid3_s6  |               ec_s6  |        Stainless Steel Skin 2  |                             0*mm 0*mm -241.114*mm  |                       0*deg 0*deg 0*deg  | FCFFF0   |              G4Trap  |0.875*mm 0*deg 0*deg 1864.65*mm 0.001*mm 1909.27940772151*mm 0*deg 1864.65*mm 0.001*mm  1909.27940772151*mm  0*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
scint_01_s1_view_1_stack_1  |               ec_s1  |Forward Calorimeter scintillator layer 1  |                             0*mm 0*mm -235.239*mm  |                       0*deg 0*deg 0*deg  | 0147FA   |              G4Trap  |5*mm 0*deg 0*deg 1864.65*mm 0.001*mm 1909.27940772151*mm 0*deg 1864.65*mm 0.001*mm  1909.27940772151*mm  0*deg  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                  ec  |                  ec  |sector manual 1 stack manual 1 view manual 1 strip manual 36 
lead_02_s1_view_2_stack_1  |               ec_s1  |Forward Calorimeter lead layer 2  |                     0*mm 0.085555*mm -229.0485*mm  |                       0*deg 0*deg 0*deg  | 7CFC00   |              G4Trap  |1.1905*mm 0*deg 0*deg  1869.10634*mm 5.1196723452699e-06*mm  1913.84241809267*mm  0*deg  1869.10634*mm 5.1196723452699e-06*mm  1913.84241809267*mm  0*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
scint_02_s1_view_2_stack_1  |               ec_s1  |Forward Calorimeter scintillator layer 2  |                       0*mm 0.08555*mm -222.858*mm  |                       0*deg 0*deg 0*deg  | 0147FA   |              G4Trap  |5*mm 0*deg 0*deg  1869.10635*mm 0.001*mm  1913.84241809267*mm  0*deg  1869.10635*mm 0.001*mm  1913.84241809267*mm  0*deg  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                  ec  |                  ec  |sector manual 1 stack manual 1 view manual 2 strip manual 36 
lead_03_s1_view_3_stack_1  |               ec_s1  |Forward Calorimeter lead layer 3  |                   0*mm 0.17110005*mm -216.6675*mm  |                       0*deg 0*deg 0*deg  | 7CFC00   |              G4Trap  |1.1905*mm 0*deg 0*deg  1873.5626999*mm 5.1196723452699e-08*mm  1918.40542846384*mm  0*deg  1873.5626999*mm 5.1196723452699e-08*mm  1918.40542846384*mm  0*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
scint_03_s1_view_3_stack_1  |               ec_s1  |Forward Calorimeter scintillator layer 3  |                        0*mm 0.1711*mm -210.477*mm  |                       0*deg 0*deg 0*deg  | 0147FA   |              G4Trap  |5*mm 0*deg 0*deg  1873.5627*mm 0.001*mm  1918.40542846384*mm  0*deg  1873.5627*mm 0.001*mm  1918.40542846384*mm  0*deg  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                  ec  |                  ec  |sector manual 1 stack manual 1 view manual 3 strip manual 36 
lead_04_s1_view_1_stack_1  |               ec_s1  |Forward Calorimeter lead layer 4  |                      0*mm 0.97665*mm -204.2865*mm  |                       0*deg 0*deg 0*deg  | 7CFC00   |              G4Trap  |1.1905*mm 0*deg 0*deg  1876.57905*mm 0.737232817718866*mm  1922.96843883501*mm  0*deg  1876.57905*mm 0.737232817718866*mm  1922.96843883501*mm  0*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
scint_04_s1_view_1_stack_1  |               ec_s1  |Forward Calorimeter scintillator layer 4  |                       0*mm 0.25665*mm -198.096*mm  |                       0*deg 0*deg 0*deg  | 0147FA   |              G4Trap  |5*mm 0*deg 0*deg  1878.01905*mm 0.001*mm  1922.96843883501*mm  0*deg  1878.01905*mm 0.001*mm  1922.96843883501*mm  0*deg  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                  ec  |                  ec  |sector manual 1 stack manual 1 view manual 1 strip manual 36 
