             ec_s1 |       fc | 232.626345*cm 0.000000*cm 723.866183*cm | ordered: zxy 90.0*deg 25.0*deg 0.0*deg |   G4Trap | 26.7767*cm 0.0*rad 0.0*rad 204.35336*cm 1.0E-6*cm 209.32463509128354*cm 0.0*rad 204.35336*cm 1.0E-6*cm 209.32463509128354*cm 0.0*rad  | 
U_strip_28_34_s2_stack_2 | U-scintillator_28_s2_view_1_stack_2 | 0.000000*cm 171.035061*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.51726*cm 186.4998452319166*cm 192.15135567796963*cm 0.0*rad 5.51726*cm 186.4998452319166*cm 192.15135567796963*cm 0.0*rad  | 
U_strip_28_35_s2_stack_2 | U-scintillator_28_s2_view_1_stack_2 | 0.000000*cm 182.069581*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.51726*cm 192.15135567796963*cm 197.80286612402267*cm 0.0*rad 5.51726*cm 192.15135567796963*cm 197.80286612402267*cm 0.0*rad  | 
U_strip_28_36_s2_stack_2 | U-scintillator_28_s2_view_1_stack_2 | 0.000000*cm 193.104101*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.51726*cm 197.80286612402267*cm 203.4543765700757*cm 0.0*rad 5.51726*cm 197.80286612402267*cm 203.4543765700757*cm 0.0*rad  | 
lead_29_s2_view_2_stack_2 |    ec_s2 | 0.000000*cm 0.239680*cm 13.224450*cm | 0 0 0 |   G4Trap | 0.11904999999999999*cm 0.0*rad 0.0*rad 198.99498000163084*cm 1.0E-6*cm 203.83708728450944*cm 0.0*rad 198.99498000163084*cm 1.0E-6*cm 203.83708728450944*cm 0.0*rad  | 
V-scintillator_29_s2_view_2_stack_2 |    ec_s2 | -50.959272*cm 99.737170*cm 13.843600*cm | 0.0*deg 180.0*deg 62.88000000000001*deg |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 181.42596100000003*cm 223.5763664895245*cm 1.0E-6*cm -0.103625284124869*rad 181.42596100000003*cm 223.5763664895245*cm 1.0E-6*cm -0.103625284124869*rad  | 
V_strip_29_1_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | -18.343792*cm 176.386349*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 6.210455206641875*cm 6.161642062062013E-7*cm -0.103625284124869*rad 5.039610000000001*cm 6.210455206641875*cm 6.161642062062013E-7*cm -0.103625284124869*rad  | 
V_strip_29_2_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | -17.295576*cm 166.307129*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 12.420909797119545*cm 6.210455206641875*cm -0.103625284124869*rad 5.039610000000001*cm 12.420909797119545*cm 6.210455206641875*cm -0.103625284124869*rad  | 
V_strip_29_3_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | -16.247359*cm 156.227909*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 18.631364387597213*cm 12.420909797119545*cm -0.103625284124869*rad 5.039610000000001*cm 18.631364387597213*cm 12.420909797119545*cm -0.103625284124869*rad  | 
V_strip_29_4_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | -15.199142*cm 146.148689*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 24.84181897807488*cm 18.631364387597213*cm -0.103625284124869*rad 5.039610000000001*cm 24.84181897807488*cm 18.631364387597213*cm -0.103625284124869*rad  | 
V_strip_29_5_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | -14.150926*cm 136.069469*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 31.052273568552547*cm 24.84181897807488*cm -0.103625284124869*rad 5.039610000000001*cm 31.052273568552547*cm 24.84181897807488*cm -0.103625284124869*rad  | 
V_strip_29_6_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | -13.102709*cm 125.990249*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 37.26272815903022*cm 31.052273568552547*cm -0.103625284124869*rad 5.039610000000001*cm 37.26272815903022*cm 31.052273568552547*cm -0.103625284124869*rad  | 
V_strip_29_7_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | -12.054492*cm 115.911029*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 43.473182749507885*cm 37.26272815903022*cm -0.103625284124869*rad 5.039610000000001*cm 43.473182749507885*cm 37.26272815903022*cm -0.103625284124869*rad  | 
V_strip_29_8_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | -11.006275*cm 105.831809*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 49.68363733998556*cm 43.473182749507885*cm -0.103625284124869*rad 5.039610000000001*cm 49.68363733998556*cm 43.473182749507885*cm -0.103625284124869*rad  | 
V_strip_29_9_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | -9.958059*cm 95.752589*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 55.894091930463226*cm 49.68363733998556*cm -0.103625284124869*rad 5.039610000000001*cm 55.894091930463226*cm 49.68363733998556*cm -0.103625284124869*rad  | 
V_strip_29_10_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | -8.909842*cm 85.673369*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 62.1045465209409*cm 55.894091930463226*cm -0.103625284124869*rad 5.039610000000001*cm 62.1045465209409*cm 55.894091930463226*cm -0.103625284124869*rad  | 
V_strip_29_11_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | -7.861625*cm 75.594149*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 68.31500111141857*cm 62.1045465209409*cm -0.103625284124869*rad 5.039610000000001*cm 68.31500111141857*cm 62.1045465209409*cm -0.103625284124869*rad  | 
V_strip_29_12_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | -6.813409*cm 65.514929*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 74.52545570189625*cm 68.31500111141857*cm -0.103625284124869*rad 5.039610000000001*cm 74.52545570189625*cm 68.31500111141857*cm -0.103625284124869*rad  | 
V_strip_29_13_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | -5.765192*cm 55.435709*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 80.73591029237392*cm 74.52545570189625*cm -0.103625284124869*rad 5.039610000000001*cm 80.73591029237392*cm 74.52545570189625*cm -0.103625284124869*rad  | 
V_strip_29_14_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | -4.716975*cm 45.356489*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 86.94636488285158*cm 80.73591029237392*cm -0.103625284124869*rad 5.039610000000001*cm 86.94636488285158*cm 80.73591029237392*cm -0.103625284124869*rad  | 
V_strip_29_15_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | -3.668758*cm 35.277269*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 93.15681947332925*cm 86.94636488285158*cm -0.103625284124869*rad 5.039610000000001*cm 93.15681947332925*cm 86.94636488285158*cm -0.103625284124869*rad  | 
V_strip_29_16_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | -2.620542*cm 25.198049*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 99.3672740638069*cm 93.15681947332925*cm -0.103625284124869*rad 5.039610000000001*cm 99.3672740638069*cm 93.15681947332925*cm -0.103625284124869*rad  | 
V_strip_29_17_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | -1.572325*cm 15.118829*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 105.57772865428457*cm 99.3672740638069*cm -0.103625284124869*rad 5.039610000000001*cm 105.57772865428457*cm 99.3672740638069*cm -0.103625284124869*rad  | 
V_strip_29_18_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | -0.524108*cm 5.039609*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 111.78818324476224*cm 105.57772865428457*cm -0.103625284124869*rad 5.039610000000001*cm 111.78818324476224*cm 105.57772865428457*cm -0.103625284124869*rad  | 
V_strip_29_19_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | 0.524108*cm -5.039611*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 117.9986378352399*cm 111.78818324476224*cm -0.103625284124869*rad 5.039610000000001*cm 117.9986378352399*cm 111.78818324476224*cm -0.103625284124869*rad  | 
V_strip_29_20_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | 1.572325*cm -15.118831*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 124.20909242571756*cm 117.9986378352399*cm -0.103625284124869*rad 5.039610000000001*cm 124.20909242571756*cm 117.9986378352399*cm -0.103625284124869*rad  | 
V_strip_29_21_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | 2.620542*cm -25.198051*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 130.41954701619522*cm 124.20909242571756*cm -0.103625284124869*rad 5.039610000000001*cm 130.41954701619522*cm 124.20909242571756*cm -0.103625284124869*rad  | 
V_strip_29_22_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | 3.668759*cm -35.277271*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 136.6300016066729*cm 130.41954701619522*cm -0.103625284124869*rad 5.039610000000001*cm 136.6300016066729*cm 130.41954701619522*cm -0.103625284124869*rad  | 
V_strip_29_23_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | 4.716975*cm -45.356491*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 142.84045619715056*cm 136.6300016066729*cm -0.103625284124869*rad 5.039610000000001*cm 142.84045619715056*cm 136.6300016066729*cm -0.103625284124869*rad  | 
V_strip_29_24_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | 5.765192*cm -55.435711*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 149.05091078762823*cm 142.84045619715056*cm -0.103625284124869*rad 5.039610000000001*cm 149.05091078762823*cm 142.84045619715056*cm -0.103625284124869*rad  | 
V_strip_29_25_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | 6.813409*cm -65.514931*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 155.2613653781059*cm 149.05091078762823*cm -0.103625284124869*rad 5.039610000000001*cm 155.2613653781059*cm 149.05091078762823*cm -0.103625284124869*rad  | 
V_strip_29_26_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | 7.861625*cm -75.594151*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 161.47181996858356*cm 155.2613653781059*cm -0.103625284124869*rad 5.039610000000001*cm 161.47181996858356*cm 155.2613653781059*cm -0.103625284124869*rad  | 
V_strip_29_27_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | 8.909842*cm -85.673371*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 167.68227455906126*cm 161.47181996858356*cm -0.103625284124869*rad 5.039610000000001*cm 167.68227455906126*cm 161.47181996858356*cm -0.103625284124869*rad  | 
V_strip_29_28_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | 9.958059*cm -95.752591*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 173.89272914953892*cm 167.68227455906126*cm -0.103625284124869*rad 5.039610000000001*cm 173.89272914953892*cm 167.68227455906126*cm -0.103625284124869*rad  | 
V_strip_29_29_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | 11.006276*cm -105.831811*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 180.10318374001662*cm 173.89272914953892*cm -0.103625284124869*rad 5.039610000000001*cm 180.10318374001662*cm 173.89272914953892*cm -0.103625284124869*rad  | 
V_strip_29_30_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | 12.054492*cm -115.911031*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 186.31363833049429*cm 180.10318374001662*cm -0.103625284124869*rad 5.039610000000001*cm 186.31363833049429*cm 180.10318374001662*cm -0.103625284124869*rad  | 
V_strip_29_31_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | 13.102709*cm -125.990251*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 192.52409292097195*cm 186.31363833049429*cm -0.103625284124869*rad 5.039610000000001*cm 192.52409292097195*cm 186.31363833049429*cm -0.103625284124869*rad  | 
V_strip_29_32_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | 14.150926*cm -136.069471*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 198.73454751144965*cm 192.52409292097195*cm -0.103625284124869*rad 5.039610000000001*cm 198.73454751144965*cm 192.52409292097195*cm -0.103625284124869*rad  | 
V_strip_29_33_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | 15.199142*cm -146.148691*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 204.94500210192732*cm 198.73454751144965*cm -0.103625284124869*rad 5.039610000000001*cm 204.94500210192732*cm 198.73454751144965*cm -0.103625284124869*rad  | 
V_strip_29_34_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | 16.247359*cm -156.227911*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 211.155456692405*cm 204.94500210192732*cm -0.103625284124869*rad 5.039610000000001*cm 211.155456692405*cm 204.94500210192732*cm -0.103625284124869*rad  | 
V_strip_29_35_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | 17.295576*cm -166.307131*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 217.36591128288268*cm 211.155456692405*cm -0.103625284124869*rad 5.039610000000001*cm 217.36591128288268*cm 211.155456692405*cm -0.103625284124869*rad  | 
V_strip_29_36_s2_stack_2 | V-scintillator_29_s2_view_2_stack_2 | 18.343793*cm -176.386351*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.039610000000001*cm 223.57636587336037*cm 217.36591128288268*cm -0.103625284124869*rad 5.039610000000001*cm 223.57636587336037*cm 217.36591128288268*cm -0.103625284124869*rad  | 
lead_30_s2_view_3_stack_2 |    ec_s2 | 0.000000*cm 0.248240*cm 14.462750*cm | 0 0 0 |   G4Trap | 0.11904999999999999*cm 0.0*rad 0.0*rad 199.43919959675196*cm 1.0E-6*cm 204.2921159911806*cm 0.0*rad 199.43919959675196*cm 1.0E-6*cm 204.2921159911806*cm 0.0*rad  | 
W-scintillator_30_s2_view_3_stack_2 |    ec_s2 | 51.073029*cm 99.967839*cm 15.081900*cm | 0.0*deg 0.0*deg 62.88000000000001*deg |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 181.83096100000003*cm 224.07545949655153*cm 1.0E-6*cm -0.103625284124869*rad 181.83096100000003*cm 224.07545949655153*cm 1.0E-6*cm -0.103625284124869*rad  | 
W_strip_30_1_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | -18.384741*cm 176.780099*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 6.2243189012815145*cm 6.161642062062013E-7*cm -0.103625284124869*rad 5.050860000000001*cm 6.2243189012815145*cm 6.161642062062013E-7*cm -0.103625284124869*rad  | 
W_strip_30_2_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | -17.334185*cm 166.678379*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 12.448637186398825*cm 6.2243189012815145*cm -0.103625284124869*rad 5.050860000000001*cm 12.448637186398825*cm 6.2243189012815145*cm -0.103625284124869*rad  | 
W_strip_30_3_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | -16.283628*cm 156.576659*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 18.672955471516133*cm 12.448637186398825*cm -0.103625284124869*rad 5.050860000000001*cm 18.672955471516133*cm 12.448637186398825*cm -0.103625284124869*rad  | 
W_strip_30_4_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | -15.233071*cm 146.474939*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 24.897273756633442*cm 18.672955471516133*cm -0.103625284124869*rad 5.050860000000001*cm 24.897273756633442*cm 18.672955471516133*cm -0.103625284124869*rad  | 
W_strip_30_5_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | -14.182515*cm 136.373219*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 31.12159204175075*cm 24.897273756633442*cm -0.103625284124869*rad 5.050860000000001*cm 31.12159204175075*cm 24.897273756633442*cm -0.103625284124869*rad  | 
W_strip_30_6_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | -13.131958*cm 126.271499*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 37.34591032686806*cm 31.12159204175075*cm -0.103625284124869*rad 5.050860000000001*cm 37.34591032686806*cm 31.12159204175075*cm -0.103625284124869*rad  | 
W_strip_30_7_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | -12.081402*cm 116.169779*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 43.57022861198537*cm 37.34591032686806*cm -0.103625284124869*rad 5.050860000000001*cm 43.57022861198537*cm 37.34591032686806*cm -0.103625284124869*rad  | 
W_strip_30_8_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | -11.030845*cm 106.068059*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 49.79454689710268*cm 43.57022861198537*cm -0.103625284124869*rad 5.050860000000001*cm 49.79454689710268*cm 43.57022861198537*cm -0.103625284124869*rad  | 
W_strip_30_9_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | -9.980288*cm 95.966339*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 56.01886518221998*cm 49.79454689710268*cm -0.103625284124869*rad 5.050860000000001*cm 56.01886518221998*cm 49.79454689710268*cm -0.103625284124869*rad  | 
W_strip_30_10_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | -8.929732*cm 85.864619*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 62.243183467337296*cm 56.01886518221998*cm -0.103625284124869*rad 5.050860000000001*cm 62.243183467337296*cm 56.01886518221998*cm -0.103625284124869*rad  | 
W_strip_30_11_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | -7.879175*cm 75.762899*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 68.4675017524546*cm 62.243183467337296*cm -0.103625284124869*rad 5.050860000000001*cm 68.4675017524546*cm 62.243183467337296*cm -0.103625284124869*rad  | 
W_strip_30_12_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | -6.828618*cm 65.661179*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 74.69182003757192*cm 68.4675017524546*cm -0.103625284124869*rad 5.050860000000001*cm 74.69182003757192*cm 68.4675017524546*cm -0.103625284124869*rad  | 
W_strip_30_13_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | -5.778062*cm 55.559459*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 80.91613832268922*cm 74.69182003757192*cm -0.103625284124869*rad 5.050860000000001*cm 80.91613832268922*cm 74.69182003757192*cm -0.103625284124869*rad  | 
W_strip_30_14_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | -4.727505*cm 45.457739*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 87.14045660780653*cm 80.91613832268922*cm -0.103625284124869*rad 5.050860000000001*cm 87.14045660780653*cm 80.91613832268922*cm -0.103625284124869*rad  | 
W_strip_30_15_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | -3.676948*cm 35.356019*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 93.36477489292385*cm 87.14045660780653*cm -0.103625284124869*rad 5.050860000000001*cm 93.36477489292385*cm 87.14045660780653*cm -0.103625284124869*rad  | 
W_strip_30_16_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | -2.626392*cm 25.254299*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 99.58909317804115*cm 93.36477489292385*cm -0.103625284124869*rad 5.050860000000001*cm 99.58909317804115*cm 93.36477489292385*cm -0.103625284124869*rad  | 
W_strip_30_17_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | -1.575835*cm 15.152579*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 105.81341146315846*cm 99.58909317804115*cm -0.103625284124869*rad 5.050860000000001*cm 105.81341146315846*cm 99.58909317804115*cm -0.103625284124869*rad  | 
W_strip_30_18_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | -0.525278*cm 5.050859*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 112.03772974827577*cm 105.81341146315846*cm -0.103625284124869*rad 5.050860000000001*cm 112.03772974827577*cm 105.81341146315846*cm -0.103625284124869*rad  | 
W_strip_30_19_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | 0.525278*cm -5.050861*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 118.26204803339307*cm 112.03772974827577*cm -0.103625284124869*rad 5.050860000000001*cm 118.26204803339307*cm 112.03772974827577*cm -0.103625284124869*rad  | 
W_strip_30_20_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | 1.575835*cm -15.152581*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 124.48636631851038*cm 118.26204803339307*cm -0.103625284124869*rad 5.050860000000001*cm 124.48636631851038*cm 118.26204803339307*cm -0.103625284124869*rad  | 
W_strip_30_21_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | 2.626392*cm -25.254301*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 130.7106846036277*cm 124.48636631851038*cm -0.103625284124869*rad 5.050860000000001*cm 130.7106846036277*cm 124.48636631851038*cm -0.103625284124869*rad  | 
W_strip_30_22_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | 3.676948*cm -35.356021*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 136.935002888745*cm 130.7106846036277*cm -0.103625284124869*rad 5.050860000000001*cm 136.935002888745*cm 130.7106846036277*cm -0.103625284124869*rad  | 
W_strip_30_23_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | 4.727505*cm -45.457741*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 143.1593211738623*cm 136.935002888745*cm -0.103625284124869*rad 5.050860000000001*cm 143.1593211738623*cm 136.935002888745*cm -0.103625284124869*rad  | 
W_strip_30_24_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | 5.778062*cm -55.559461*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 149.38363945897962*cm 143.1593211738623*cm -0.103625284124869*rad 5.050860000000001*cm 149.38363945897962*cm 143.1593211738623*cm -0.103625284124869*rad  | 
W_strip_30_25_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | 6.828618*cm -65.661181*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 155.60795774409692*cm 149.38363945897962*cm -0.103625284124869*rad 5.050860000000001*cm 155.60795774409692*cm 149.38363945897962*cm -0.103625284124869*rad  | 
W_strip_30_26_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | 7.879175*cm -75.762901*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 161.83227602921426*cm 155.60795774409692*cm -0.103625284124869*rad 5.050860000000001*cm 161.83227602921426*cm 155.60795774409692*cm -0.103625284124869*rad  | 
W_strip_30_27_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | 8.929732*cm -85.864621*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 168.05659431433156*cm 161.83227602921426*cm -0.103625284124869*rad 5.050860000000001*cm 168.05659431433156*cm 161.83227602921426*cm -0.103625284124869*rad  | 
W_strip_30_28_s2_stack_2 | W-scintillator_30_s2_view_3_stack_2 | 9.980288*cm -95.966341*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.050860000000001*cm 174.28091259944887*cm 168.05659431433156*cm -0.103625284124869*rad 5.050860000000001*cm 174.28091259944887*cm 168.05659431433156*cm -0.103625284124869*rad  | 
