         ftof_p1b_s6  |                  fc  |Forward TOF - Panel 1b - Sector 6  | 42.86028*inches -74.23617*inches 250.24355*inches  |ordered: zxy -390*deg -115.00052*deg 0*deg  | 000000   |                 Trd  |4.81343*inches 81.7190551181102*inches 2.36448*inches 2.36448*inches 74.8269*inches  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          ftof_p2_s6  |                  fc  |Forward TOF - Panel 2 - Sector 6  |  79.7776*inches -138.17886*inches 195.9833*inches  |ordered: zxy -390*deg -147.79905*deg 0*deg  | 000000   |                 Trd  |75.94685*inches 86.757874015748*inches 1.15748*inches 1.15748*inches 22.04657*inches  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
panel1a_sector1_paddle_1  |         ftof_p1a_s1  |paddle 1 - Panel 1B - Sector 1  |                        0*cm 0*mm -65.68734*inches  |                       0*deg 0*deg 0*deg  | ff11aa   |                 Box  |               6.35826771653543*inches 1*inches 2.955*inches  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |            ftof_p1a  |            ftof_p1a  |sector manual 1 panel manual 1 paddle manual 1 side manual 0 
panel1a_sector1_paddle_2  |         ftof_p1a_s1  |paddle 2 - Panel 1B - Sector 1  |                        0*cm 0*mm -59.71577*inches  |                       0*deg 0*deg 0*deg  | ff11aa   |                 Box  |               9.46850393700787*inches 1*inches 2.955*inches  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |            ftof_p1a  |            ftof_p1a  |sector manual 1 panel manual 1 paddle manual 2 side manual 0 
panel1a_sector1_paddle_3  |         ftof_p1a_s1  |paddle 3 - Panel 1B - Sector 1  |                        0*cm 0*mm -53.74419*inches  |                       0*deg 0*deg 0*deg  | ff11aa   |                 Box  |               12.5984251968504*inches 1*inches 2.955*inches  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |            ftof_p1a  |            ftof_p1a  |sector manual 1 panel manual 1 paddle manual 3 side manual 0 
panel1a_sector1_paddle_4  |         ftof_p1a_s1  |paddle 4 - Panel 1B - Sector 1  |                        0*cm 0*mm -47.77261*inches  |                       0*deg 0*deg 0*deg  | ff11aa   |                 Box  |               15.7086614173228*inches 1*inches 2.955*inches  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |            ftof_p1a  |            ftof_p1a  |sector manual 1 panel manual 1 paddle manual 4 side manual 0 
panel1a_sector1_paddle_5  |         ftof_p1a_s1  |paddle 5 - Panel 1B - Sector 1  |                        0*cm 0*mm -41.80104*inches  |                       0*deg 0*deg 0*deg  | ff11aa   |                 Box  |               18.8385826771654*inches 1*inches 2.955*inches  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |            ftof_p1a  |            ftof_p1a  |sector manual 1 panel manual 1 paddle manual 5 side manual 0 
panel1a_sector1_paddle_6  |         ftof_p1a_s1  |paddle 6 - Panel 1B - Sector 1  |                        0*cm 0*mm -35.82946*inches  |                       0*deg 0*deg 0*deg  | ff11aa   |                 Box  |               20.9842519685039*inches 1*inches 2.955*inches  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |            ftof_p1a  |            ftof_p1a  |sector manual 1 panel manual 1 paddle manual 6 side manual 0 
panel1a_sector1_paddle_7  |         ftof_p1a_s1  |paddle 7 - Panel 1B - Sector 1  |                        0*cm 0*mm -29.85788*inches  |                       0*deg 0*deg 0*deg  | ff11aa   |                 Box  |               24.0944881889764*inches 1*inches 2.955*inches  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |            ftof_p1a  |            ftof_p1a  |sector manual 1 panel manual 1 paddle manual 7 side manual 0 
panel1a_sector1_paddle_8  |         ftof_p1a_s1  |paddle 8 - Panel 1B - Sector 1  |                        0*cm 0*mm -23.88631*inches  |                       0*deg 0*deg 0*deg  | ff11aa   |                 Box  |               27.2244094488189*inches 1*inches 2.955*inches  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |            ftof_p1a  |            ftof_p1a  |sector manual 1 panel manual 1 paddle manual 8 side manual 0 
panel1a_sector1_paddle_9  |         ftof_p1a_s1  |paddle 9 - Panel 1B - Sector 1  |                        0*cm 0*mm -17.91473*inches  |                       0*deg 0*deg 0*deg  | ff11aa   |                 Box  |               30.3346456692913*inches 1*inches 2.955*inches  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |            ftof_p1a  |            ftof_p1a  |sector manual 1 panel manual 1 paddle manual 9 side manual 0 
panel1a_sector1_paddle_10  |         ftof_p1a_s1  |paddle 10 - Panel 1B - Sector 1  |                        0*cm 0*mm -11.94315*inches  |                       0*deg 0*deg 0*deg  | ff11aa   |                 Box  |               33.4645669291339*inches 1*inches 2.955*inches  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |            ftof_p1a  |            ftof_p1a  |sector manual 1 panel manual 1 paddle manual 10 side manual 0 
panel1a_sector1_paddle_11  |         ftof_p1a_s1  |paddle 11 - Panel 1B - Sector 1  |                         0*cm 0*mm -5.97158*inches  |                       0*deg 0*deg 0*deg  | ff11aa   |                 Box  |               36.5748031496063*inches 1*inches 2.955*inches  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |            ftof_p1a  |            ftof_p1a  |sector manual 1 panel manual 1 paddle manual 11 side manual 0 
panel1a_sector1_paddle_12  |         ftof_p1a_s1  |paddle 12 - Panel 1B - Sector 1  |                                0*cm 0*mm 0*inches  |                       0*deg 0*deg 0*deg  | ff11aa   |                 Box  |               39.7047244094488*inches 1*inches 2.955*inches  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |            ftof_p1a  |            ftof_p1a  |sector manual 1 panel manual 1 paddle manual 12 side manual 0 
panel1a_sector1_paddle_13  |         ftof_p1a_s1  |paddle 13 - Panel 1B - Sector 1  |                          0*cm 0*mm 5.97158*inches  |                       0*deg 0*deg 0*deg  | ff11aa   |                 Box  |               42.8346456692913*inches 1*inches 2.955*inches  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |            ftof_p1a  |            ftof_p1a  |sector manual 1 panel manual 1 paddle manual 13 side manual 0 
panel1a_sector1_paddle_14  |         ftof_p1a_s1  |paddle 14 - Panel 1B - Sector 1  |                         0*cm 0*mm 11.94315*inches  |                       0*deg 0*deg 0*deg  | ff11aa   |                 Box  |               45.9448818897638*inches 1*inches 2.955*inches  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |            ftof_p1a  |            ftof_p1a  |sector manual 1 panel manual 1 paddle manual 14 side manual 0 
