           pcal_s1 |       fc | 209.837207*cm 0.000000*cm 682.417577*cm | ordered: zxy 90.0*deg 25.0*deg 0.0*deg |   G4Trap | 14.9118*cm 0.0*rad 0.0*rad 192.67503532012952*cm 1.0E-6*cm 197.15000000000003*cm 0.0*rad 192.67503532012952*cm 1.0E-6*cm 197.15000000000003*cm 0.0*rad  | 
Stainless_Steel_Front_1_s1 |  pcal_s1 | 0.000000*cm 0.000000*cm -14.761700*cm | 0 0 0 |   G4Trap | 0.1*cm 0.0*rad 0.0*rad 192.6250353201295*cm 1.0E-6*cm 197.10000100000002*cm 0.0*rad 192.6250353201295*cm 1.0E-6*cm 197.10000100000002*cm 0.0*rad  | 
Last-a-Foam_Front_s1 |  pcal_s1 | 0.000000*cm 0.000000*cm -12.121600*cm | 0 0 0 |   G4Trap | 2.54*cm 0.0*rad 0.0*rad 192.6250353201295*cm 1.0E-6*cm 197.10000100000002*cm 0.0*rad 192.6250353201295*cm 1.0E-6*cm 197.10000100000002*cm 0.0*rad  | 
Stainless_Steel_Front_2_s1 |  pcal_s1 | 0.000000*cm 0.000000*cm -9.481500*cm | 0 0 0 |   G4Trap | 0.1*cm 0.0*rad 0.0*rad 192.6250353201295*cm 1.0E-6*cm 197.10000100000002*cm 0.0*rad 192.6250353201295*cm 1.0E-6*cm 197.10000100000002*cm 0.0*rad  | 
U-view-scintillator_1_s1 |  pcal_s1 | 0.000000*cm 0.000000*cm -8.856400*cm | 0 0 0 |   G4Trap | 0.525*cm 0.0*rad 0.0*rad 192.6250353201295*cm 1.0E-6*cm 197.10000100000002*cm 0.0*rad 192.6250353201295*cm 1.0E-6*cm 197.10000100000002*cm 0.0*rad  | 
U-view_single_strip_1_0_s1 | U-view-scintillator_1_s1 | 0.000000*cm -189.000000*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 3.6000353201295128*cm 0.012790393501578953*cm 3.6964598626247165*cm 0.0*rad 3.6000353201295128*cm 0.012790393501578953*cm 3.6964598626247165*cm 0.0*rad  | 
U-view_single_strip_1_1_s1 | U-view-scintillator_1_s1 | 0.000000*cm -183.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 3.7220406496278744*cm 5.998730692908928*cm 0.0*rad 2.225*cm 3.7220406496278744*cm 5.998730692908928*cm 0.0*rad  | 
U-view_single_strip_1_2_s1 | U-view-scintillator_1_s1 | 0.000000*cm -178.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 6.024311479912086*cm 8.301001523193138*cm 0.0*rad 2.225*cm 6.024311479912086*cm 8.301001523193138*cm 0.0*rad  | 
U-view_single_strip_1_3_s1 | U-view-scintillator_1_s1 | 0.000000*cm -174.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 8.326582310196295*cm 10.60327235347735*cm 0.0*rad 2.225*cm 8.326582310196295*cm 10.60327235347735*cm 0.0*rad  | 
U-view_single_strip_1_4_s1 | U-view-scintillator_1_s1 | 0.000000*cm -169.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 10.628853140480507*cm 12.90554318376156*cm 0.0*rad 2.225*cm 10.628853140480507*cm 12.90554318376156*cm 0.0*rad  | 
U-view_single_strip_1_5_s1 | U-view-scintillator_1_s1 | 0.000000*cm -165.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 12.931123970764718*cm 15.207814014045772*cm 0.0*rad 2.225*cm 12.931123970764718*cm 15.207814014045772*cm 0.0*rad  | 
U-view_single_strip_1_6_s1 | U-view-scintillator_1_s1 | 0.000000*cm -160.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 15.233394801048929*cm 17.510084844329985*cm 0.0*rad 2.225*cm 15.233394801048929*cm 17.510084844329985*cm 0.0*rad  | 
U-view_single_strip_1_7_s1 | U-view-scintillator_1_s1 | 0.000000*cm -156.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 17.535665631333142*cm 19.812355674614196*cm 0.0*rad 2.225*cm 17.535665631333142*cm 19.812355674614196*cm 0.0*rad  | 
U-view_single_strip_1_8_s1 | U-view-scintillator_1_s1 | 0.000000*cm -151.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 19.837936461617353*cm 22.114626504898407*cm 0.0*rad 2.225*cm 19.837936461617353*cm 22.114626504898407*cm 0.0*rad  | 
U-view_single_strip_1_9_s1 | U-view-scintillator_1_s1 | 0.000000*cm -147.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 22.140207291901564*cm 24.416897335182618*cm 0.0*rad 2.225*cm 22.140207291901564*cm 24.416897335182618*cm 0.0*rad  | 
U-view_single_strip_1_10_s1 | U-view-scintillator_1_s1 | 0.000000*cm -142.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 24.442478122185776*cm 26.71916816546683*cm 0.0*rad 2.225*cm 24.442478122185776*cm 26.71916816546683*cm 0.0*rad  | 
U-view_single_strip_1_11_s1 | U-view-scintillator_1_s1 | 0.000000*cm -138.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 26.744748952469987*cm 29.02143899575104*cm 0.0*rad 2.225*cm 26.744748952469987*cm 29.02143899575104*cm 0.0*rad  | 
U-view_single_strip_1_12_s1 | U-view-scintillator_1_s1 | 0.000000*cm -133.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 29.047019782754198*cm 31.323709826035252*cm 0.0*rad 2.225*cm 29.047019782754198*cm 31.323709826035252*cm 0.0*rad  | 
U-view_single_strip_1_13_s1 | U-view-scintillator_1_s1 | 0.000000*cm -129.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 31.34929061303841*cm 33.62598065631946*cm 0.0*rad 2.225*cm 31.34929061303841*cm 33.62598065631946*cm 0.0*rad  | 
U-view_single_strip_1_14_s1 | U-view-scintillator_1_s1 | 0.000000*cm -124.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 33.65156144332262*cm 35.92825148660368*cm 0.0*rad 2.225*cm 33.65156144332262*cm 35.92825148660368*cm 0.0*rad  | 
U-view_single_strip_1_15_s1 | U-view-scintillator_1_s1 | 0.000000*cm -120.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 35.953832273606835*cm 38.230522316887885*cm 0.0*rad 2.225*cm 35.953832273606835*cm 38.230522316887885*cm 0.0*rad  | 
U-view_single_strip_1_16_s1 | U-view-scintillator_1_s1 | 0.000000*cm -115.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 38.25610310389104*cm 40.5327931471721*cm 0.0*rad 2.225*cm 38.25610310389104*cm 40.5327931471721*cm 0.0*rad  | 
U-view_single_strip_1_17_s1 | U-view-scintillator_1_s1 | 0.000000*cm -111.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 40.55837393417526*cm 42.83506397745631*cm 0.0*rad 2.225*cm 40.55837393417526*cm 42.83506397745631*cm 0.0*rad  | 
U-view_single_strip_1_18_s1 | U-view-scintillator_1_s1 | 0.000000*cm -106.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 42.860644764459465*cm 45.13733480774052*cm 0.0*rad 2.225*cm 42.860644764459465*cm 45.13733480774052*cm 0.0*rad  | 
U-view_single_strip_1_19_s1 | U-view-scintillator_1_s1 | 0.000000*cm -102.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 45.16291559474368*cm 47.43960563802473*cm 0.0*rad 2.225*cm 45.16291559474368*cm 47.43960563802473*cm 0.0*rad  | 
U-view_single_strip_1_20_s1 | U-view-scintillator_1_s1 | 0.000000*cm -97.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 47.46518642502789*cm 49.741876468308945*cm 0.0*rad 2.225*cm 47.46518642502789*cm 49.741876468308945*cm 0.0*rad  | 
U-view_single_strip_1_21_s1 | U-view-scintillator_1_s1 | 0.000000*cm -93.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 49.7674572553121*cm 52.04414729859315*cm 0.0*rad 2.225*cm 49.7674572553121*cm 52.04414729859315*cm 0.0*rad  | 
U-view_single_strip_1_22_s1 | U-view-scintillator_1_s1 | 0.000000*cm -88.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 52.06972808559631*cm 54.34641812887737*cm 0.0*rad 2.225*cm 52.06972808559631*cm 54.34641812887737*cm 0.0*rad  | 
U-view_single_strip_1_23_s1 | U-view-scintillator_1_s1 | 0.000000*cm -84.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 54.371998915880525*cm 56.648688959161575*cm 0.0*rad 2.225*cm 54.371998915880525*cm 56.648688959161575*cm 0.0*rad  | 
U-view_single_strip_1_24_s1 | U-view-scintillator_1_s1 | 0.000000*cm -79.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 56.67426974616473*cm 58.95095978944579*cm 0.0*rad 2.225*cm 56.67426974616473*cm 58.95095978944579*cm 0.0*rad  | 
U-view_single_strip_1_25_s1 | U-view-scintillator_1_s1 | 0.000000*cm -75.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 58.97654057644895*cm 61.25323061973*cm 0.0*rad 2.225*cm 58.97654057644895*cm 61.25323061973*cm 0.0*rad  | 
U-view_single_strip_1_26_s1 | U-view-scintillator_1_s1 | 0.000000*cm -70.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 61.278811406733155*cm 63.55550145001421*cm 0.0*rad 2.225*cm 61.278811406733155*cm 63.55550145001421*cm 0.0*rad  | 
U-view_single_strip_1_27_s1 | U-view-scintillator_1_s1 | 0.000000*cm -66.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 63.58108223701737*cm 65.85777228029842*cm 0.0*rad 2.225*cm 63.58108223701737*cm 65.85777228029842*cm 0.0*rad  | 
U-view_single_strip_1_28_s1 | U-view-scintillator_1_s1 | 0.000000*cm -61.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 65.88335306730158*cm 68.16004311058262*cm 0.0*rad 2.225*cm 65.88335306730158*cm 68.16004311058262*cm 0.0*rad  | 
U-view_single_strip_1_29_s1 | U-view-scintillator_1_s1 | 0.000000*cm -57.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 68.18562389758578*cm 70.46231394086684*cm 0.0*rad 2.225*cm 68.18562389758578*cm 70.46231394086684*cm 0.0*rad  | 
U-view_single_strip_1_30_s1 | U-view-scintillator_1_s1 | 0.000000*cm -52.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 70.48789472787*cm 72.76458477115105*cm 0.0*rad 2.225*cm 70.48789472787*cm 72.76458477115105*cm 0.0*rad  | 
U-view_single_strip_1_31_s1 | U-view-scintillator_1_s1 | 0.000000*cm -48.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 72.79016555815421*cm 75.06685560143526*cm 0.0*rad 2.225*cm 72.79016555815421*cm 75.06685560143526*cm 0.0*rad  | 
U-view_single_strip_1_32_s1 | U-view-scintillator_1_s1 | 0.000000*cm -43.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 75.09243638843843*cm 77.36912643171947*cm 0.0*rad 2.225*cm 75.09243638843843*cm 77.36912643171947*cm 0.0*rad  | 
U-view_single_strip_1_33_s1 | U-view-scintillator_1_s1 | 0.000000*cm -39.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 77.39470721872263*cm 79.67139726200368*cm 0.0*rad 2.225*cm 77.39470721872263*cm 79.67139726200368*cm 0.0*rad  | 
U-view_single_strip_1_34_s1 | U-view-scintillator_1_s1 | 0.000000*cm -34.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 79.69697804900684*cm 81.9736680922879*cm 0.0*rad 2.225*cm 79.69697804900684*cm 81.9736680922879*cm 0.0*rad  | 
U-view_single_strip_1_35_s1 | U-view-scintillator_1_s1 | 0.000000*cm -30.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 81.99924887929106*cm 84.27593892257211*cm 0.0*rad 2.225*cm 81.99924887929106*cm 84.27593892257211*cm 0.0*rad  | 
U-view_single_strip_1_36_s1 | U-view-scintillator_1_s1 | 0.000000*cm -25.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 84.30151970957527*cm 86.57820975285631*cm 0.0*rad 2.225*cm 84.30151970957527*cm 86.57820975285631*cm 0.0*rad  | 
U-view_single_strip_1_37_s1 | U-view-scintillator_1_s1 | 0.000000*cm -21.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 86.60379053985947*cm 88.88048058314052*cm 0.0*rad 2.225*cm 86.60379053985947*cm 88.88048058314052*cm 0.0*rad  | 
U-view_single_strip_1_38_s1 | U-view-scintillator_1_s1 | 0.000000*cm -16.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 88.90606137014369*cm 91.18275141342474*cm 0.0*rad 2.225*cm 88.90606137014369*cm 91.18275141342474*cm 0.0*rad  | 
U-view_single_strip_1_39_s1 | U-view-scintillator_1_s1 | 0.000000*cm -12.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 91.2083322004279*cm 93.48502224370895*cm 0.0*rad 2.225*cm 91.2083322004279*cm 93.48502224370895*cm 0.0*rad  | 
U-view_single_strip_1_40_s1 | U-view-scintillator_1_s1 | 0.000000*cm -7.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 93.51060303071212*cm 95.78729307399315*cm 0.0*rad 2.225*cm 93.51060303071212*cm 95.78729307399315*cm 0.0*rad  | 
U-view_single_strip_1_41_s1 | U-view-scintillator_1_s1 | 0.000000*cm -3.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 95.81287386099632*cm 98.08956390427737*cm 0.0*rad 2.225*cm 95.81287386099632*cm 98.08956390427737*cm 0.0*rad  | 
U-view_single_strip_1_42_s1 | U-view-scintillator_1_s1 | 0.000000*cm 1.375035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 98.11514469128053*cm 100.39183473456158*cm 0.0*rad 2.225*cm 98.11514469128053*cm 100.39183473456158*cm 0.0*rad  | 
U-view_single_strip_1_43_s1 | U-view-scintillator_1_s1 | 0.000000*cm 5.875035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 100.41741552156475*cm 102.6941055648458*cm 0.0*rad 2.225*cm 100.41741552156475*cm 102.6941055648458*cm 0.0*rad  | 
U-view_single_strip_1_44_s1 | U-view-scintillator_1_s1 | 0.000000*cm 10.375035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 102.71968635184896*cm 104.99637639513*cm 0.0*rad 2.225*cm 102.71968635184896*cm 104.99637639513*cm 0.0*rad  | 
U-view_single_strip_1_45_s1 | U-view-scintillator_1_s1 | 0.000000*cm 14.875035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 105.02195718213316*cm 107.29864722541421*cm 0.0*rad 2.225*cm 105.02195718213316*cm 107.29864722541421*cm 0.0*rad  | 
U-view_single_strip_1_46_s1 | U-view-scintillator_1_s1 | 0.000000*cm 19.375035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 107.32422801241738*cm 109.60091805569843*cm 0.0*rad 2.225*cm 107.32422801241738*cm 109.60091805569843*cm 0.0*rad  | 
U-view_single_strip_1_47_s1 | U-view-scintillator_1_s1 | 0.000000*cm 23.875035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 109.6264988427016*cm 111.90318888598264*cm 0.0*rad 2.225*cm 109.6264988427016*cm 111.90318888598264*cm 0.0*rad  | 
U-view_single_strip_1_48_s1 | U-view-scintillator_1_s1 | 0.000000*cm 28.375035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 111.92876967298581*cm 114.20545971626684*cm 0.0*rad 2.225*cm 111.92876967298581*cm 114.20545971626684*cm 0.0*rad  | 
U-view_single_strip_1_49_s1 | U-view-scintillator_1_s1 | 0.000000*cm 32.875035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 114.23104050327001*cm 116.50773054655106*cm 0.0*rad 2.225*cm 114.23104050327001*cm 116.50773054655106*cm 0.0*rad  | 
U-view_single_strip_1_50_s1 | U-view-scintillator_1_s1 | 0.000000*cm 37.375035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 116.53331133355422*cm 118.81000137683527*cm 0.0*rad 2.225*cm 116.53331133355422*cm 118.81000137683527*cm 0.0*rad  | 
U-view_single_strip_1_51_s1 | U-view-scintillator_1_s1 | 0.000000*cm 41.875035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 118.83558216383844*cm 121.11227220711949*cm 0.0*rad 2.225*cm 118.83558216383844*cm 121.11227220711949*cm 0.0*rad  | 
U-view_single_strip_1_52_s1 | U-view-scintillator_1_s1 | 0.000000*cm 46.375035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 121.13785299412265*cm 123.41454303740369*cm 0.0*rad 2.225*cm 121.13785299412265*cm 123.41454303740369*cm 0.0*rad  | 
U-view_single_strip_1_53_s1 | U-view-scintillator_1_s1 | 0.000000*cm 50.875035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 123.44012382440685*cm 125.7168138676879*cm 0.0*rad 2.225*cm 123.44012382440685*cm 125.7168138676879*cm 0.0*rad  | 
U-view_single_strip_1_54_s1 | U-view-scintillator_1_s1 | 0.000000*cm 55.375035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 125.74239465469107*cm 128.01908469797212*cm 0.0*rad 2.225*cm 125.74239465469107*cm 128.01908469797212*cm 0.0*rad  | 
U-view_single_strip_1_55_s1 | U-view-scintillator_1_s1 | 0.000000*cm 59.875035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 128.04466548497527*cm 130.32135552825633*cm 0.0*rad 2.225*cm 128.04466548497527*cm 130.32135552825633*cm 0.0*rad  | 
U-view_single_strip_1_56_s1 | U-view-scintillator_1_s1 | 0.000000*cm 64.375035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 130.34693631525948*cm 132.62362635854055*cm 0.0*rad 2.225*cm 130.34693631525948*cm 132.62362635854055*cm 0.0*rad  | 
U-view_single_strip_1_57_s1 | U-view-scintillator_1_s1 | 0.000000*cm 68.875035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 132.64920714554373*cm 134.92589718882476*cm 0.0*rad 2.225*cm 132.64920714554373*cm 134.92589718882476*cm 0.0*rad  | 
U-view_single_strip_1_58_s1 | U-view-scintillator_1_s1 | 0.000000*cm 73.375035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 134.95147797582794*cm 137.22816801910898*cm 0.0*rad 2.225*cm 134.95147797582794*cm 137.22816801910898*cm 0.0*rad  | 
U-view_single_strip_1_59_s1 | U-view-scintillator_1_s1 | 0.000000*cm 77.875035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 137.25374880611213*cm 139.5304388493932*cm 0.0*rad 2.225*cm 137.25374880611213*cm 139.5304388493932*cm 0.0*rad  | 
U-view_single_strip_1_60_s1 | U-view-scintillator_1_s1 | 0.000000*cm 82.375035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 139.55601963639634*cm 141.8327096796774*cm 0.0*rad 2.225*cm 139.55601963639634*cm 141.8327096796774*cm 0.0*rad  | 
U-view_single_strip_1_61_s1 | U-view-scintillator_1_s1 | 0.000000*cm 86.875035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 141.85829046668056*cm 144.13498050996162*cm 0.0*rad 2.225*cm 141.85829046668056*cm 144.13498050996162*cm 0.0*rad  | 
U-view_single_strip_1_62_s1 | U-view-scintillator_1_s1 | 0.000000*cm 91.375035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 144.16056129696477*cm 146.4372513402458*cm 0.0*rad 2.225*cm 144.16056129696477*cm 146.4372513402458*cm 0.0*rad  | 
U-view_single_strip_1_63_s1 | U-view-scintillator_1_s1 | 0.000000*cm 95.875035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 146.462832127249*cm 148.73952217053002*cm 0.0*rad 2.225*cm 146.462832127249*cm 148.73952217053002*cm 0.0*rad  | 
U-view_single_strip_1_64_s1 | U-view-scintillator_1_s1 | 0.000000*cm 100.375035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 148.7651029575332*cm 151.04179300081424*cm 0.0*rad 2.225*cm 148.7651029575332*cm 151.04179300081424*cm 0.0*rad  | 
U-view_single_strip_1_65_s1 | U-view-scintillator_1_s1 | 0.000000*cm 104.875035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 151.06737378781742*cm 153.34406383109845*cm 0.0*rad 2.225*cm 151.06737378781742*cm 153.34406383109845*cm 0.0*rad  | 
U-view_single_strip_1_66_s1 | U-view-scintillator_1_s1 | 0.000000*cm 109.375035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 153.36964461810163*cm 155.64633466138267*cm 0.0*rad 2.225*cm 153.36964461810163*cm 155.64633466138267*cm 0.0*rad  | 
U-view_single_strip_1_67_s1 | U-view-scintillator_1_s1 | 0.000000*cm 113.875035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 155.67191544838582*cm 157.94860549166688*cm 0.0*rad 2.225*cm 155.67191544838582*cm 157.94860549166688*cm 0.0*rad  | 
U-view_single_strip_1_68_s1 | U-view-scintillator_1_s1 | 0.000000*cm 118.375035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 157.97418627867003*cm 160.2508763219511*cm 0.0*rad 2.225*cm 157.97418627867003*cm 160.2508763219511*cm 0.0*rad  | 
U-view_single_strip_1_69_s1 | U-view-scintillator_1_s1 | 0.000000*cm 122.875035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 160.27645710895425*cm 162.5531471522353*cm 0.0*rad 2.225*cm 160.27645710895425*cm 162.5531471522353*cm 0.0*rad  | 
U-view_single_strip_1_70_s1 | U-view-scintillator_1_s1 | 0.000000*cm 127.375035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 162.57872793923846*cm 164.8554179825195*cm 0.0*rad 2.225*cm 162.57872793923846*cm 164.8554179825195*cm 0.0*rad  | 
U-view_single_strip_1_71_s1 | U-view-scintillator_1_s1 | 0.000000*cm 131.875035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 164.88099876952268*cm 167.1576888128037*cm 0.0*rad 2.225*cm 164.88099876952268*cm 167.1576888128037*cm 0.0*rad  | 
U-view_single_strip_1_72_s1 | U-view-scintillator_1_s1 | 0.000000*cm 136.375035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 167.1832695998069*cm 169.45995964308793*cm 0.0*rad 2.225*cm 167.1832695998069*cm 169.45995964308793*cm 0.0*rad  | 
U-view_single_strip_1_73_s1 | U-view-scintillator_1_s1 | 0.000000*cm 140.875035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 169.4855404300911*cm 171.76223047337214*cm 0.0*rad 2.225*cm 169.4855404300911*cm 171.76223047337214*cm 0.0*rad  | 
U-view_single_strip_1_74_s1 | U-view-scintillator_1_s1 | 0.000000*cm 145.375035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 171.78781126037532*cm 174.06450130365636*cm 0.0*rad 2.225*cm 171.78781126037532*cm 174.06450130365636*cm 0.0*rad  | 
U-view_single_strip_1_75_s1 | U-view-scintillator_1_s1 | 0.000000*cm 149.875035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 174.0900820906595*cm 176.36677213394057*cm 0.0*rad 2.225*cm 174.0900820906595*cm 176.36677213394057*cm 0.0*rad  | 
U-view_single_strip_1_76_s1 | U-view-scintillator_1_s1 | 0.000000*cm 154.375035*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 176.39235292094372*cm 178.6690429642248*cm 0.0*rad 2.225*cm 176.39235292094372*cm 178.6690429642248*cm 0.0*rad  | 
