      FMT_outerPeek1  |                 FMT  |          outer PEEK, Layer 1,  |                              0*mm 0*mm -30.153*mm  |                       0*deg 0*deg 0*deg  |b2577a4   |                Tube  |                  195.000*mm 204.000*mm 2.5*mm 0*deg 360*deg  |               myAlu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
FMT_Drift_Cu_Electrode1  |                 FMT  |  Drift Cu Electrode, Layer 1,  |                              0*mm 0*mm -27.647*mm  |                       0*deg 0*deg 0*deg  |6666004   |                Tube  |                 42.000*mm 185.000*mm 0.006*mm 0*deg 360*deg  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      FMT_Drift_PCB1  |                 FMT  |           Drift PCB, Layer 1,  |                              0*mm 0*mm -27.541*mm  |                       0*deg 0*deg 0*deg  |0000ff4   |                Tube  |                   25.000*mm 204.000*mm 0.1*mm 0*deg 360*deg  |               myFR4  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
FMT_Drift_Cu_Ground1  |                 FMT  |     Drift Cu Ground, Layer 1,  |                             0*mm 0*mm -27.4385*mm  |                       0*deg 0*deg 0*deg  |6666004   |                Tube  |                25.000*mm 204.000*mm 0.0025*mm 0*deg 360*deg  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    FMT_HVcover1_1_1  |                 FMT  |    HVcover1, Layer1, Element1  |                              0*mm 0*mm -25.735*mm  |                     0*deg 0*deg -60*deg  |6c2d582   |                Tube  |                200*mm 224.8*mm 0.5*mm -13.755*deg 27.51*deg  |               myAlu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    FMT_HVcover1_1_2  |                 FMT  |    HVcover1, Layer1, Element2  |                              0*mm 0*mm -29.485*mm  |                     0*deg 0*deg -60*deg  |6c2d582   |                Tube  |               204*mm 223.8*mm 3.25*mm -13.755*deg 0.255*deg  |               myAlu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    FMT_HVcover1_1_3  |                 FMT  |    HVcover1, Layer1, Element3  |                              0*mm 0*mm -29.485*mm  |                     0*deg 0*deg -60*deg  |6c2d582   |                Tube  |                  204*mm 223.8*mm 3.25*mm 13.5*deg 0.255*deg  |               myAlu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    FMT_HVcover1_1_4  |                 FMT  |    HVcover1, Layer1, Element4  |                              0*mm 0*mm -29.485*mm  |                     0*deg 0*deg -60*deg  |6c2d582   |                Tube  |             223.8*mm 224.8*mm 3.25*mm -13.755*deg 27.51*deg  |               myAlu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    FMT_HVcover1_2_1  |                 FMT  |    HVcover2, Layer1, Element1  |                              0*mm 0*mm -25.735*mm  |                    0*deg 0*deg -240*deg  |6c2d582   |                Tube  |                200*mm 224.8*mm 0.5*mm -13.755*deg 27.51*deg  |               myAlu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    FMT_HVcover1_2_2  |                 FMT  |    HVcover2, Layer1, Element2  |                              0*mm 0*mm -29.485*mm  |                    0*deg 0*deg -240*deg  |6c2d582   |                Tube  |               204*mm 223.8*mm 3.25*mm -13.755*deg 0.255*deg  |               myAlu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
