             ec_s1 |       fc | 232.6263*cm 0*cm 723.8662*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 26.7767*cm 0*rad 0*rad 204.3534*cm 0.000001*cm 209.3246*cm 0*rad 204.3534*cm 0.000001*cm 209.3246*cm 0*rad  | 
U_strip_1_17_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm -15.548999*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 84.9459*cm 90.255*cm 0*rad 5.183*cm 84.9459*cm 90.255*cm 0*rad  | 
U_strip_1_18_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm -5.182999*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 90.255*cm 95.5641*cm 0*rad 5.183*cm 90.255*cm 95.5641*cm 0*rad  | 
U_strip_1_19_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm 5.183*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 95.5641*cm 100.8732*cm 0*rad 5.183*cm 95.5641*cm 100.8732*cm 0*rad  | 
U_strip_1_20_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm 15.549*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 100.8732*cm 106.1823*cm 0*rad 5.183*cm 100.8732*cm 106.1823*cm 0*rad  | 
U_strip_1_21_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm 25.915*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 106.1823*cm 111.4915*cm 0*rad 5.183*cm 106.1823*cm 111.4915*cm 0*rad  | 
U_strip_1_22_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm 36.281*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 111.4915*cm 116.8006*cm 0*rad 5.183*cm 111.4915*cm 116.8006*cm 0*rad  | 
U_strip_1_23_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm 46.647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 116.8006*cm 122.1097*cm 0*rad 5.183*cm 116.8006*cm 122.1097*cm 0*rad  | 
U_strip_1_24_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm 57.013*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 122.1097*cm 127.4188*cm 0*rad 5.183*cm 122.1097*cm 127.4188*cm 0*rad  | 
U_strip_1_25_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm 67.379*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 127.4188*cm 132.7279*cm 0*rad 5.183*cm 127.4188*cm 132.7279*cm 0*rad  | 
U_strip_1_26_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm 77.745*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 132.7279*cm 138.037*cm 0*rad 5.183*cm 132.7279*cm 138.037*cm 0*rad  | 
U_strip_1_27_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm 88.111*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 138.037*cm 143.3462*cm 0*rad 5.183*cm 138.037*cm 143.3462*cm 0*rad  | 
