             ec_s1 |       fc | 232.6263*cm 0*cm 723.8662*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 26.7767*cm 0*rad 0*rad 204.3534*cm 0.000001*cm 209.3246*cm 0*rad 204.3534*cm 0.000001*cm 209.3246*cm 0*rad  | 
U_strip_7_11_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm -78.859199*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 53.852*cm 59.2372*cm 0*rad 5.2573*cm 53.852*cm 59.2372*cm 0*rad  | 
U_strip_7_12_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm -68.344639*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 59.2372*cm 64.6225*cm 0*rad 5.2573*cm 59.2372*cm 64.6225*cm 0*rad  | 
U_strip_7_13_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm -57.830079*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 64.6225*cm 70.0077*cm 0*rad 5.2573*cm 64.6225*cm 70.0077*cm 0*rad  | 
U_strip_7_14_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm -47.315519*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 70.0077*cm 75.3929*cm 0*rad 5.2573*cm 70.0077*cm 75.3929*cm 0*rad  | 
U_strip_7_15_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm -36.800959*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 75.3929*cm 80.7781*cm 0*rad 5.2573*cm 75.3929*cm 80.7781*cm 0*rad  | 
U_strip_7_16_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm -26.286399*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 80.7781*cm 86.1633*cm 0*rad 5.2573*cm 80.7781*cm 86.1633*cm 0*rad  | 
U_strip_7_17_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm -15.771839*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 86.1633*cm 91.5485*cm 0*rad 5.2573*cm 86.1633*cm 91.5485*cm 0*rad  | 
U_strip_7_18_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm -5.257279*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 91.5485*cm 96.9337*cm 0*rad 5.2573*cm 91.5485*cm 96.9337*cm 0*rad  | 
U_strip_7_19_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm 5.2573*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 96.9337*cm 102.3189*cm 0*rad 5.2573*cm 96.9337*cm 102.3189*cm 0*rad  | 
U_strip_7_20_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm 15.7718*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 102.3189*cm 107.7041*cm 0*rad 5.2573*cm 102.3189*cm 107.7041*cm 0*rad  | 
U_strip_7_21_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm 26.2864*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 107.7041*cm 113.0893*cm 0*rad 5.2573*cm 107.7041*cm 113.0893*cm 0*rad  | 
U_strip_7_22_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm 36.801*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 113.0893*cm 118.4745*cm 0*rad 5.2573*cm 113.0893*cm 118.4745*cm 0*rad  | 
U_strip_7_23_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm 47.3155*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 118.4745*cm 123.8597*cm 0*rad 5.2573*cm 118.4745*cm 123.8597*cm 0*rad  | 
U_strip_7_24_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm 57.8301*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 123.8597*cm 129.2449*cm 0*rad 5.2573*cm 123.8597*cm 129.2449*cm 0*rad  | 
U_strip_7_25_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm 68.3446*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 129.2449*cm 134.6301*cm 0*rad 5.2573*cm 129.2449*cm 134.6301*cm 0*rad  | 
U_strip_7_26_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm 78.8592*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 134.6301*cm 140.0153*cm 0*rad 5.2573*cm 134.6301*cm 140.0153*cm 0*rad  | 
U_strip_7_27_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm 89.3738*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 140.0153*cm 145.4005*cm 0*rad 5.2573*cm 140.0153*cm 145.4005*cm 0*rad  | 
U_strip_7_28_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm 99.8883*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 145.4005*cm 150.7857*cm 0*rad 5.2573*cm 145.4005*cm 150.7857*cm 0*rad  | 
U_strip_7_29_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm 110.4029*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 150.7857*cm 156.1709*cm 0*rad 5.2573*cm 150.7857*cm 156.1709*cm 0*rad  | 
U_strip_7_30_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm 120.9174*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 156.1709*cm 161.5561*cm 0*rad 5.2573*cm 156.1709*cm 161.5561*cm 0*rad  | 
U_strip_7_31_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm 131.432*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 161.5561*cm 166.9413*cm 0*rad 5.2573*cm 161.5561*cm 166.9413*cm 0*rad  | 
U_strip_7_32_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm 141.9466*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 166.9413*cm 172.3265*cm 0*rad 5.2573*cm 166.9413*cm 172.3265*cm 0*rad  | 
U_strip_7_33_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm 152.4611*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 172.3265*cm 177.7117*cm 0*rad 5.2573*cm 172.3265*cm 177.7117*cm 0*rad  | 
U_strip_7_34_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm 162.9757*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 177.7117*cm 183.097*cm 0*rad 5.2573*cm 177.7117*cm 183.097*cm 0*rad  | 
U_strip_7_35_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm 173.4902*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 183.097*cm 188.4822*cm 0*rad 5.2573*cm 183.097*cm 188.4822*cm 0*rad  | 
U_strip_7_36_s1_stack_1 | U-scintillator_7_s1_view_1_stack_1 | 0*cm 184.0048*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.2573*cm 188.4822*cm 193.8674*cm 0*rad 5.2573*cm 188.4822*cm 193.8674*cm 0*rad  | 
lead_8_s1_view_2_stack_1 |    ec_s1 | 0*cm 0.0599*cm -12.77985*cm | 0 0 0 |   G4Trap | 0.119*cm 0*rad 0*rad 189.6415*cm 0.000001*cm 194.256*cm 0*rad 189.6415*cm 0.000001*cm 194.256*cm 0*rad  | 
V-scintillator_8_s1_view_2_stack_1 |    ec_s1 | -48.5640005*cm 94.8807*cm -12.1607*cm | 0*deg 180*deg 62.88*deg |   G4Trap | 0.5*cm 0*rad 0*rad 172.8983*cm 213.0675*cm 0.000001*cm -0.1036253*rad 172.8983*cm 213.0675*cm 0.000001*cm -0.1036253*rad  | 
V_strip_8_1_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | -17.4815674*cm 168.0955*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 5.9185*cm 0.0000006*cm -0.1036253*rad 4.8027*cm 5.9185*cm 0.0000006*cm -0.1036253*rad  | 
V_strip_8_2_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | -16.4826207*cm 158.4901*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 11.8371*cm 5.9185*cm -0.1036253*rad 4.8027*cm 11.8371*cm 5.9185*cm -0.1036253*rad  | 
V_strip_8_3_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | -15.483674*cm 148.8846*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 17.7556*cm 11.8371*cm -0.1036253*rad 4.8027*cm 17.7556*cm 11.8371*cm -0.1036253*rad  | 
V_strip_8_4_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | -14.4847272*cm 139.2792*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 23.6742*cm 17.7556*cm -0.1036253*rad 4.8027*cm 23.6742*cm 17.7556*cm -0.1036253*rad  | 
V_strip_8_5_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | -13.4857805*cm 129.6737*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 29.5927*cm 23.6742*cm -0.1036253*rad 4.8027*cm 29.5927*cm 23.6742*cm -0.1036253*rad  | 
V_strip_8_6_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | -12.4868338*cm 120.0682*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 35.5112*cm 29.5927*cm -0.1036253*rad 4.8027*cm 35.5112*cm 29.5927*cm -0.1036253*rad  | 
V_strip_8_7_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | -11.4878871*cm 110.4628*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 41.4298*cm 35.5112*cm -0.1036253*rad 4.8027*cm 41.4298*cm 35.5112*cm -0.1036253*rad  | 
V_strip_8_8_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | -10.4889404*cm 100.8573*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 47.3483*cm 41.4298*cm -0.1036253*rad 4.8027*cm 47.3483*cm 41.4298*cm -0.1036253*rad  | 
V_strip_8_9_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | -9.4899937*cm 91.2519*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 53.2669*cm 47.3483*cm -0.1036253*rad 4.8027*cm 53.2669*cm 47.3483*cm -0.1036253*rad  | 
V_strip_8_10_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | -8.491047*cm 81.6464*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 59.1854*cm 53.2669*cm -0.1036253*rad 4.8027*cm 59.1854*cm 53.2669*cm -0.1036253*rad  | 
V_strip_8_11_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | -7.4921002*cm 72.0409*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 65.1039*cm 59.1854*cm -0.1036253*rad 4.8027*cm 65.1039*cm 59.1854*cm -0.1036253*rad  | 
V_strip_8_12_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | -6.4931535*cm 62.4355*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 71.0225*cm 65.1039*cm -0.1036253*rad 4.8027*cm 71.0225*cm 65.1039*cm -0.1036253*rad  | 
V_strip_8_13_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | -5.4942068*cm 52.83*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 76.941*cm 71.0225*cm -0.1036253*rad 4.8027*cm 76.941*cm 71.0225*cm -0.1036253*rad  | 
V_strip_8_14_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | -4.4952601*cm 43.2246*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 82.8596*cm 76.941*cm -0.1036253*rad 4.8027*cm 82.8596*cm 76.941*cm -0.1036253*rad  | 
V_strip_8_15_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | -3.4963134*cm 33.6191*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 88.7781*cm 82.8596*cm -0.1036253*rad 4.8027*cm 88.7781*cm 82.8596*cm -0.1036253*rad  | 
V_strip_8_16_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | -2.4973667*cm 24.0136*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 94.6967*cm 88.7781*cm -0.1036253*rad 4.8027*cm 94.6967*cm 88.7781*cm -0.1036253*rad  | 
V_strip_8_17_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | -1.49842*cm 14.4082*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 100.6152*cm 94.6967*cm -0.1036253*rad 4.8027*cm 100.6152*cm 94.6967*cm -0.1036253*rad  | 
V_strip_8_18_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | -0.4994733*cm 4.8027*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 106.5337*cm 100.6152*cm -0.1036253*rad 4.8027*cm 106.5337*cm 100.6152*cm -0.1036253*rad  | 
V_strip_8_19_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | 0.4995*cm -4.802731*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 112.4523*cm 106.5337*cm -0.1036253*rad 4.8027*cm 112.4523*cm 106.5337*cm -0.1036253*rad  | 
V_strip_8_20_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | 1.4984*cm -14.408191*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 118.3708*cm 112.4523*cm -0.1036253*rad 4.8027*cm 118.3708*cm 112.4523*cm -0.1036253*rad  | 
V_strip_8_21_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | 2.4974*cm -24.013651*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 124.2894*cm 118.3708*cm -0.1036253*rad 4.8027*cm 124.2894*cm 118.3708*cm -0.1036253*rad  | 
V_strip_8_22_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | 3.4963*cm -33.619111*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 130.2079*cm 124.2894*cm -0.1036253*rad 4.8027*cm 130.2079*cm 124.2894*cm -0.1036253*rad  | 
V_strip_8_23_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | 4.4953*cm -43.224571*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 136.1264*cm 130.2079*cm -0.1036253*rad 4.8027*cm 136.1264*cm 130.2079*cm -0.1036253*rad  | 
V_strip_8_24_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | 5.4942*cm -52.830031*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 142.045*cm 136.1264*cm -0.1036253*rad 4.8027*cm 142.045*cm 136.1264*cm -0.1036253*rad  | 
V_strip_8_25_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | 6.4932*cm -62.435491*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 147.9635*cm 142.045*cm -0.1036253*rad 4.8027*cm 147.9635*cm 142.045*cm -0.1036253*rad  | 
V_strip_8_26_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | 7.4921*cm -72.040951*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 153.8821*cm 147.9635*cm -0.1036253*rad 4.8027*cm 153.8821*cm 147.9635*cm -0.1036253*rad  | 
V_strip_8_27_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | 8.491*cm -81.646411*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 159.8006*cm 153.8821*cm -0.1036253*rad 4.8027*cm 159.8006*cm 153.8821*cm -0.1036253*rad  | 
V_strip_8_28_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | 9.49*cm -91.251871*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 165.7191*cm 159.8006*cm -0.1036253*rad 4.8027*cm 165.7191*cm 159.8006*cm -0.1036253*rad  | 
V_strip_8_29_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | 10.4889*cm -100.857331*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 171.6377*cm 165.7191*cm -0.1036253*rad 4.8027*cm 171.6377*cm 165.7191*cm -0.1036253*rad  | 
V_strip_8_30_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | 11.4879*cm -110.462791*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 177.5562*cm 171.6377*cm -0.1036253*rad 4.8027*cm 177.5562*cm 171.6377*cm -0.1036253*rad  | 
V_strip_8_31_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | 12.4868*cm -120.068251*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 183.4748*cm 177.5562*cm -0.1036253*rad 4.8027*cm 183.4748*cm 177.5562*cm -0.1036253*rad  | 
V_strip_8_32_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | 13.4858*cm -129.673711*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 189.3933*cm 183.4748*cm -0.1036253*rad 4.8027*cm 189.3933*cm 183.4748*cm -0.1036253*rad  | 
V_strip_8_33_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | 14.4847*cm -139.279171*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 195.3118*cm 189.3933*cm -0.1036253*rad 4.8027*cm 195.3118*cm 189.3933*cm -0.1036253*rad  | 
V_strip_8_34_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | 15.4837*cm -148.884631*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 201.2304*cm 195.3118*cm -0.1036253*rad 4.8027*cm 201.2304*cm 195.3118*cm -0.1036253*rad  | 
V_strip_8_35_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | 16.4826*cm -158.490091*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 207.1489*cm 201.2304*cm -0.1036253*rad 4.8027*cm 207.1489*cm 201.2304*cm -0.1036253*rad  | 
V_strip_8_36_s1_stack_1 | V-scintillator_8_s1_view_2_stack_1 | 17.4816*cm -168.095551*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.8027*cm 213.0675*cm 207.1489*cm -0.1036253*rad 4.8027*cm 213.0675*cm 207.1489*cm -0.1036253*rad  | 
lead_9_s1_view_3_stack_1 |    ec_s1 | 0*cm 0.0685*cm -11.54155*cm | 0 0 0 |   G4Trap | 0.119*cm 0*rad 0*rad 190.0857*cm 0.000001*cm 194.711*cm 0*rad 190.0857*cm 0.000001*cm 194.711*cm 0*rad  | 
W-scintillator_9_s1_view_3_stack_1 |    ec_s1 | 48.6778*cm 95.1113*cm -10.9224*cm | 0*deg 0*deg 62.88*deg |   G4Trap | 0.5*cm 0*rad 0*rad 173.3033*cm 213.5666*cm 0.000001*cm -0.1036253*rad 173.3033*cm 213.5666*cm 0.000001*cm -0.1036253*rad  | 
W_strip_9_1_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | -17.5225165*cm 168.4893*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 5.9324*cm 0.0000006*cm -0.1036253*rad 4.814*cm 5.9324*cm 0.0000006*cm -0.1036253*rad  | 
W_strip_9_2_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | -16.5212299*cm 158.8613*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 11.8648*cm 5.9324*cm -0.1036253*rad 4.814*cm 11.8648*cm 5.9324*cm -0.1036253*rad  | 
W_strip_9_3_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | -15.5199432*cm 149.2334*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 17.7972*cm 11.8648*cm -0.1036253*rad 4.814*cm 17.7972*cm 11.8648*cm -0.1036253*rad  | 
W_strip_9_4_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | -14.5186565*cm 139.6054*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 23.7296*cm 17.7972*cm -0.1036253*rad 4.814*cm 23.7296*cm 17.7972*cm -0.1036253*rad  | 
W_strip_9_5_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | -13.5173699*cm 129.9775*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 29.662*cm 23.7296*cm -0.1036253*rad 4.814*cm 29.662*cm 23.7296*cm -0.1036253*rad  | 
W_strip_9_6_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | -12.5160832*cm 120.3495*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 35.5944*cm 29.662*cm -0.1036253*rad 4.814*cm 35.5944*cm 29.662*cm -0.1036253*rad  | 
W_strip_9_7_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | -11.5147965*cm 110.7215*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 41.5268*cm 35.5944*cm -0.1036253*rad 4.814*cm 41.5268*cm 35.5944*cm -0.1036253*rad  | 
W_strip_9_8_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | -10.5135099*cm 101.0936*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 47.4592*cm 41.5268*cm -0.1036253*rad 4.814*cm 47.4592*cm 41.5268*cm -0.1036253*rad  | 
W_strip_9_9_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | -9.5122232*cm 91.4656*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 53.3916*cm 47.4592*cm -0.1036253*rad 4.814*cm 53.3916*cm 47.4592*cm -0.1036253*rad  | 
W_strip_9_10_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | -8.5109365*cm 81.8377*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 59.324*cm 53.3916*cm -0.1036253*rad 4.814*cm 59.324*cm 53.3916*cm -0.1036253*rad  | 
W_strip_9_11_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | -7.5096499*cm 72.2097*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 65.2564*cm 59.324*cm -0.1036253*rad 4.814*cm 65.2564*cm 59.324*cm -0.1036253*rad  | 
W_strip_9_12_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | -6.5083632*cm 62.5817*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 71.1889*cm 65.2564*cm -0.1036253*rad 4.814*cm 71.1889*cm 65.2564*cm -0.1036253*rad  | 
W_strip_9_13_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | -5.5070765*cm 52.9538*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 77.1213*cm 71.1889*cm -0.1036253*rad 4.814*cm 77.1213*cm 71.1889*cm -0.1036253*rad  | 
W_strip_9_14_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | -4.5057899*cm 43.3258*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 83.0537*cm 77.1213*cm -0.1036253*rad 4.814*cm 83.0537*cm 77.1213*cm -0.1036253*rad  | 
W_strip_9_15_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | -3.5045032*cm 33.6979*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 88.9861*cm 83.0537*cm -0.1036253*rad 4.814*cm 88.9861*cm 83.0537*cm -0.1036253*rad  | 
W_strip_9_16_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | -2.5032166*cm 24.0699*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 94.9185*cm 88.9861*cm -0.1036253*rad 4.814*cm 94.9185*cm 88.9861*cm -0.1036253*rad  | 
W_strip_9_17_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | -1.5019299*cm 14.4419*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 100.8509*cm 94.9185*cm -0.1036253*rad 4.814*cm 100.8509*cm 94.9185*cm -0.1036253*rad  | 
W_strip_9_18_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | -0.5006432*cm 4.814*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 106.7833*cm 100.8509*cm -0.1036253*rad 4.814*cm 106.7833*cm 100.8509*cm -0.1036253*rad  | 
W_strip_9_19_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | 0.5006*cm -4.813981*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 112.7157*cm 106.7833*cm -0.1036253*rad 4.814*cm 112.7157*cm 106.7833*cm -0.1036253*rad  | 
W_strip_9_20_s1_stack_1 | W-scintillator_9_s1_view_3_stack_1 | 1.5019*cm -14.441941*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.814*cm 118.6481*cm 112.7157*cm -0.1036253*rad 4.814*cm 118.6481*cm 112.7157*cm -0.1036253*rad  | 
