         ftof_p1a_s6  |                  fc  |Forward TOF - Panel 1a - Sector 6  |        115.540704*cm -200.122370*cm 647.846982*cm  |ordered: zyx -390.0*deg 0.0*deg -114.99999999999999*deg  | 000000   |                 Trd  | 20.15*cm 200.00000000000003*cm 6.54*cm 6.54*cm 178.77452*cm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         ftof_p1b_s6  |                  fc  |Forward TOF - Panel 1b - Sector 6  |        109.925650*cm -190.396810*cm 634.639969*cm  |ordered: zyx -390.0*deg 0.0*deg -114.99999999999999*deg  | 000000   |                 Trd  |   12.635*cm 211.12499999999997*cm 7.0*cm 7.0*cm 191.9642*cm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          ftof_p2_s6  |                  fc  |Forward TOF - Panel 2 - Sector 6  |        203.545989*cm -352.551995*cm 491.680398*cm  |ordered: zyx -390.0*deg 0.0*deg -148.10999999999999*deg  | 000000   |                 Trd  |             189.65*cm 223.95*cm 6.54*cm 6.54*cm 59.72384*cm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
panel1a_sector1_paddle_1  |         ftof_p1a_s1  |paddle 1 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -167.269520*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                   16.15*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 1 side manual 0 
panel1a_sector1_paddle_2  |         ftof_p1a_s1  |paddle 2 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -152.063200*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                   24.05*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 2 side manual 0 
panel1a_sector1_paddle_3  |         ftof_p1a_s1  |paddle 3 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -136.856880*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                    32.0*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 3 side manual 0 
panel1a_sector1_paddle_4  |         ftof_p1a_s1  |paddle 4 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -121.650560*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                    39.9*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 4 side manual 0 
panel1a_sector1_paddle_5  |         ftof_p1a_s1  |paddle 5 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -106.444240*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                   47.85*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 5 side manual 0 
panel1a_sector1_paddle_6  |         ftof_p1a_s1  |paddle 6 - Panel 1B - Sector 1  |             0.000000*cm 0.000000*cm -91.237920*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                    53.3*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 6 side manual 0 
panel1a_sector1_paddle_7  |         ftof_p1a_s1  |paddle 7 - Panel 1B - Sector 1  |             0.000000*cm 0.000000*cm -76.031600*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                    61.2*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 7 side manual 0 
