                 bmt  |                root  |Barrel Micromegas Vertex Tracker  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | aaaaff   |                Tube  |              200.000*mm 235.000*mm 295.000*mm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
BMT_Mesh_Z_Layer5_Segment03  |               SL2_5  |  Mesh Z, Layer 5,  Segment 03  |                                0*mm 0*mm 52.77*mm  |                    0*deg 0*deg -150*deg  | 252020   |                Tube  |206.116984*mm 206.134984*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |         mybmtMMMesh  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Gas2_Z_Layer5_Segment01  |               SL2_5  | Gas2 Z, Layer 5,   Segment 01  |                                0*mm 0*mm 52.77*mm  |                      0*deg 0*deg 90*deg  | e10000   |                Tube  |206.134984*mm 209.134984*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |          mybmtMMGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bmt  |                 bmt  |superlayer manual 5 type manual 2 segment manual 1 strip manual 1 
BMT_Gas2_Z_Layer5_Segment02  |               SL2_5  | Gas2 Z, Layer 5,   Segment 02  |                                0*mm 0*mm 52.77*mm  |                     0*deg 0*deg -30*deg  | e10000   |                Tube  |206.134984*mm 209.134984*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |          mybmtMMGas  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bmt  |                 bmt  |superlayer manual 5 type manual 2 segment manual 2 strip manual 1 
BMT_Gas2_Z_Layer5_Segment03  |               SL2_5  | Gas2 Z, Layer 5,   Segment 03  |                                0*mm 0*mm 52.77*mm  |                    0*deg 0*deg -150*deg  | e10000   |                Tube  |206.134984*mm 209.134984*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |          mybmtMMGas  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bmt  |                 bmt  |superlayer manual 5 type manual 2 segment manual 3 strip manual 1 
BMT_DriftCuElectrode_Z_Layer5_Segment01  |               SL2_5  |DriftCuElectrode Z, Layer 5,  Segment 01  |                                0*mm 0*mm 52.77*mm  |                      0*deg 0*deg 90*deg  | 666600   |                Tube  |209.134984*mm 209.135104*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuElectrode_Z_Layer5_Segment02  |               SL2_5  |DriftCuElectrode Z, Layer 5,  Segment 02  |                                0*mm 0*mm 52.77*mm  |                     0*deg 0*deg -30*deg  | 666600   |                Tube  |209.134984*mm 209.135104*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |            myCopper  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuElectrode_Z_Layer5_Segment03  |               SL2_5  |DriftCuElectrode Z, Layer 5,  Segment 03  |                                0*mm 0*mm 52.77*mm  |                    0*deg 0*deg -150*deg  | 666600   |                Tube  |209.134984*mm 209.135104*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |            myCopper  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftKapton_Z_Layer5_Segment01  |               SL2_5  |DriftKapton Z, Layer 5,  Segment 01  |                                0*mm 0*mm 52.77*mm  |                      0*deg 0*deg 90*deg  | fff600   |                Tube  |209.135104*mm 209.385104*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |            myKapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftKapton_Z_Layer5_Segment02  |               SL2_5  |DriftKapton Z, Layer 5,  Segment 02  |                                0*mm 0*mm 52.77*mm  |                     0*deg 0*deg -30*deg  | fff600   |                Tube  |209.135104*mm 209.385104*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |            myKapton  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftKapton_Z_Layer5_Segment03  |               SL2_5  |DriftKapton Z, Layer 5,  Segment 03  |                                0*mm 0*mm 52.77*mm  |                    0*deg 0*deg -150*deg  | fff600   |                Tube  |209.135104*mm 209.385104*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |            myKapton  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
