           paddle_17  |                ctof  |Central TOF Scintillator number 17  |                         -13.306*cm 23.046*cm 0*cm  |                    90*deg 210*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 17 
           paddle_18  |                ctof  |Central TOF Scintillator number 18  |                         -16.200*cm 21.112*cm 0*cm  |                  90*deg 217.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 18 
           paddle_19  |                ctof  |Central TOF Scintillator number 19  |                         -18.817*cm 18.817*cm 0*cm  |                    90*deg 225*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 19 
           paddle_20  |                ctof  |Central TOF Scintillator number 20  |                         -21.112*cm 16.200*cm 0*cm  |                  90*deg 232.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 20 
           paddle_21  |                ctof  |Central TOF Scintillator number 21  |                         -23.046*cm 13.306*cm 0*cm  |                    90*deg 240*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 21 
           paddle_22  |                ctof  |Central TOF Scintillator number 22  |                         -24.586*cm 10.184*cm 0*cm  |                  90*deg 247.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 22 
           paddle_23  |                ctof  |Central TOF Scintillator number 23  |                          -25.705*cm 6.888*cm 0*cm  |                    90*deg 255*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 23 
           paddle_24  |                ctof  |Central TOF Scintillator number 24  |                          -26.384*cm 3.473*cm 0*cm  |                  90*deg 262.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 24 
           paddle_25  |                ctof  |Central TOF Scintillator number 25  |                          -26.611*cm 0.000*cm 0*cm  |                    90*deg 270*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 25 
           paddle_26  |                ctof  |Central TOF Scintillator number 26  |                         -26.384*cm -3.473*cm 0*cm  |                  90*deg 277.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 26 
