               svt |     none|   0.0000*cm   0.0000*cm   0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
sensorPhysical2_m2_s2_r1 |      svt|  -4.0424*cm  -5.5639*cm  -5.3112*cm| ordered: zyx  -144.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s2_r1 |      svt|  -4.0424*cm  -5.5639*cm   5.8625*cm| ordered: zyx  -144.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s3_r1 |      svt|  -6.2096*cm  -2.0176*cm -16.4848*cm| ordered: zyx  -108.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s3_r1 |      svt|  -6.2096*cm  -2.0176*cm  -5.3112*cm| ordered: zyx  -108.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s3_r1 |      svt|  -6.2096*cm  -2.0176*cm   5.8625*cm| ordered: zyx  -108.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s3_r1 |      svt|  -6.5408*cm  -2.1252*cm -16.4848*cm| ordered: zyx  -108.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s3_r1 |      svt|  -6.5408*cm  -2.1252*cm  -5.3112*cm| ordered: zyx  -108.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s3_r1 |      svt|  -6.5408*cm  -2.1252*cm   5.8625*cm| ordered: zyx  -108.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s4_r1 |      svt|  -6.2096*cm   2.0176*cm -16.4848*cm| ordered: zyx  -72.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s4_r1 |      svt|  -6.2096*cm   2.0176*cm  -5.3112*cm| ordered: zyx  -72.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s4_r1 |      svt|  -6.2096*cm   2.0176*cm   5.8625*cm| ordered: zyx  -72.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s4_r1 |      svt|  -6.5408*cm   2.1252*cm -16.4848*cm| ordered: zyx  -72.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s4_r1 |      svt|  -6.5408*cm   2.1252*cm  -5.3112*cm| ordered: zyx  -72.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s4_r1 |      svt|  -6.5408*cm   2.1252*cm   5.8625*cm| ordered: zyx  -72.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s5_r1 |      svt|  -3.8378*cm   5.2822*cm -16.4848*cm| ordered: zyx  -36.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s5_r1 |      svt|  -3.8378*cm   5.2822*cm  -5.3112*cm| ordered: zyx  -36.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s5_r1 |      svt|  -3.8378*cm   5.2822*cm   5.8625*cm| ordered: zyx  -36.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s5_r1 |      svt|  -4.0424*cm   5.5639*cm -16.4848*cm| ordered: zyx  -36.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s5_r1 |      svt|  -4.0424*cm   5.5639*cm  -5.3112*cm| ordered: zyx  -36.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s5_r1 |      svt|  -4.0424*cm   5.5639*cm   5.8625*cm| ordered: zyx  -36.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s6_r1 |      svt|   0.0000*cm   6.5292*cm -16.4848*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s6_r1 |      svt|   0.0000*cm   6.5292*cm  -5.3112*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s6_r1 |      svt|   0.0000*cm   6.5292*cm   5.8625*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s6_r1 |      svt|   0.0000*cm   6.8774*cm -16.4848*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s6_r1 |      svt|   0.0000*cm   6.8774*cm  -5.3112*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s6_r1 |      svt|   0.0000*cm   6.8774*cm   5.8625*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s7_r1 |      svt|   3.8378*cm   5.2822*cm -16.4848*cm| ordered: zyx  -324.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s7_r1 |      svt|   3.8378*cm   5.2822*cm  -5.3112*cm| ordered: zyx  -324.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s7_r1 |      svt|   3.8378*cm   5.2822*cm   5.8625*cm| ordered: zyx  -324.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s7_r1 |      svt|   4.0424*cm   5.5639*cm -16.4848*cm| ordered: zyx  -324.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s7_r1 |      svt|   4.0424*cm   5.5639*cm  -5.3112*cm| ordered: zyx  -324.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s7_r1 |      svt|   4.0424*cm   5.5639*cm   5.8625*cm| ordered: zyx  -324.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s8_r1 |      svt|   6.2096*cm   2.0176*cm -16.4848*cm| ordered: zyx  -288.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s8_r1 |      svt|   6.2096*cm   2.0176*cm  -5.3112*cm| ordered: zyx  -288.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s8_r1 |      svt|   6.2096*cm   2.0176*cm   5.8625*cm| ordered: zyx  -288.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s8_r1 |      svt|   6.5408*cm   2.1252*cm -16.4848*cm| ordered: zyx  -288.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s8_r1 |      svt|   6.5408*cm   2.1252*cm  -5.3112*cm| ordered: zyx  -288.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s8_r1 |      svt|   6.5408*cm   2.1252*cm   5.8625*cm| ordered: zyx  -288.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s9_r1 |      svt|   6.2096*cm  -2.0176*cm -16.4848*cm| ordered: zyx  -252.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s9_r1 |      svt|   6.2096*cm  -2.0176*cm  -5.3112*cm| ordered: zyx  -252.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s9_r1 |      svt|   6.2096*cm  -2.0176*cm   5.8625*cm| ordered: zyx  -252.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s9_r1 |      svt|   6.5408*cm  -2.1252*cm -16.4848*cm| ordered: zyx  -252.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s9_r1 |      svt|   6.5408*cm  -2.1252*cm  -5.3112*cm| ordered: zyx  -252.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s9_r1 |      svt|   6.5408*cm  -2.1252*cm   5.8625*cm| ordered: zyx  -252.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s10_r1 |      svt|   3.8378*cm  -5.2822*cm -16.4848*cm| ordered: zyx  -216.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s10_r1 |      svt|   3.8378*cm  -5.2822*cm  -5.3112*cm| ordered: zyx  -216.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s10_r1 |      svt|   3.8378*cm  -5.2822*cm   5.8625*cm| ordered: zyx  -216.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s10_r1 |      svt|   4.0424*cm  -5.5639*cm -16.4848*cm| ordered: zyx  -216.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s10_r1 |      svt|   4.0424*cm  -5.5639*cm  -5.3112*cm| ordered: zyx  -216.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s10_r1 |      svt|   4.0424*cm  -5.5639*cm   5.8625*cm| ordered: zyx  -216.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s1_r2 |      svt|  -0.0000*cm  -9.2894*cm -12.5403*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s1_r2 |      svt|  -0.0000*cm  -9.2894*cm  -1.3666*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s1_r2 |      svt|  -0.0000*cm  -9.2894*cm   9.8071*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s1_r2 |      svt|  -0.0000*cm  -9.6376*cm -12.5403*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s1_r2 |      svt|  -0.0000*cm  -9.6376*cm  -1.3666*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s1_r2 |      svt|  -0.0000*cm  -9.6376*cm   9.8071*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s2_r2 |      svt|  -4.0305*cm  -8.3695*cm -12.5403*cm| ordered: zyx  -154.2857*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s2_r2 |      svt|  -4.0305*cm  -8.3695*cm  -1.3666*cm| ordered: zyx  -154.2857*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s2_r2 |      svt|  -4.0305*cm  -8.3695*cm   9.8071*cm| ordered: zyx  -154.2857*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s2_r2 |      svt|  -4.1816*cm  -8.6832*cm -12.5403*cm| ordered: zyx  -154.2857*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s2_r2 |      svt|  -4.1816*cm  -8.6832*cm  -1.3666*cm| ordered: zyx  -154.2857*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s2_r2 |      svt|  -4.1816*cm  -8.6832*cm   9.8071*cm| ordered: zyx  -154.2857*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s3_r2 |      svt|  -7.2627*cm  -5.7918*cm -12.5403*cm| ordered: zyx  -128.5714*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s3_r2 |      svt|  -7.2627*cm  -5.7918*cm  -1.3666*cm| ordered: zyx  -128.5714*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s3_r2 |      svt|  -7.2627*cm  -5.7918*cm   9.8071*cm| ordered: zyx  -128.5714*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s3_r2 |      svt|  -7.5350*cm  -6.0089*cm -12.5403*cm| ordered: zyx  -128.5714*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s3_r2 |      svt|  -7.5350*cm  -6.0089*cm  -1.3666*cm| ordered: zyx  -128.5714*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s3_r2 |      svt|  -7.5350*cm  -6.0089*cm   9.8071*cm| ordered: zyx  -128.5714*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s4_r2 |      svt|  -9.0565*cm  -2.0671*cm -12.5403*cm| ordered: zyx  -102.8571*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s4_r2 |      svt|  -9.0565*cm  -2.0671*cm  -1.3666*cm| ordered: zyx  -102.8571*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s4_r2 |      svt|  -9.0565*cm  -2.0671*cm   9.8071*cm| ordered: zyx  -102.8571*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s4_r2 |      svt|  -9.3960*cm  -2.1446*cm -12.5403*cm| ordered: zyx  -102.8571*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s4_r2 |      svt|  -9.3960*cm  -2.1446*cm  -1.3666*cm| ordered: zyx  -102.8571*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s4_r2 |      svt|  -9.3960*cm  -2.1446*cm   9.8071*cm| ordered: zyx  -102.8571*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s5_r2 |      svt|  -9.0565*cm   2.0671*cm -12.5403*cm| ordered: zyx  -77.1429*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s5_r2 |      svt|  -9.0565*cm   2.0671*cm  -1.3666*cm| ordered: zyx  -77.1429*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s5_r2 |      svt|  -9.0565*cm   2.0671*cm   9.8071*cm| ordered: zyx  -77.1429*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s5_r2 |      svt|  -9.3960*cm   2.1446*cm -12.5403*cm| ordered: zyx  -77.1429*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s5_r2 |      svt|  -9.3960*cm   2.1446*cm  -1.3666*cm| ordered: zyx  -77.1429*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s5_r2 |      svt|  -9.3960*cm   2.1446*cm   9.8071*cm| ordered: zyx  -77.1429*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s6_r2 |      svt|  -7.2627*cm   5.7918*cm -12.5403*cm| ordered: zyx  -51.4286*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s6_r2 |      svt|  -7.2627*cm   5.7918*cm  -1.3666*cm| ordered: zyx  -51.4286*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s6_r2 |      svt|  -7.2627*cm   5.7918*cm   9.8071*cm| ordered: zyx  -51.4286*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s6_r2 |      svt|  -7.5350*cm   6.0089*cm -12.5403*cm| ordered: zyx  -51.4286*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s6_r2 |      svt|  -7.5350*cm   6.0089*cm  -1.3666*cm| ordered: zyx  -51.4286*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s6_r2 |      svt|  -7.5350*cm   6.0089*cm   9.8071*cm| ordered: zyx  -51.4286*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s7_r2 |      svt|  -4.0305*cm   8.3695*cm -12.5403*cm| ordered: zyx  -25.7143*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s7_r2 |      svt|  -4.0305*cm   8.3695*cm  -1.3666*cm| ordered: zyx  -25.7143*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s7_r2 |      svt|  -4.0305*cm   8.3695*cm   9.8071*cm| ordered: zyx  -25.7143*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s7_r2 |      svt|  -4.1816*cm   8.6832*cm -12.5403*cm| ordered: zyx  -25.7143*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s7_r2 |      svt|  -4.1816*cm   8.6832*cm  -1.3666*cm| ordered: zyx  -25.7143*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s7_r2 |      svt|  -4.1816*cm   8.6832*cm   9.8071*cm| ordered: zyx  -25.7143*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s8_r2 |      svt|   0.0000*cm   9.2894*cm -12.5403*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s8_r2 |      svt|   0.0000*cm   9.2894*cm  -1.3666*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s8_r2 |      svt|   0.0000*cm   9.2894*cm   9.8071*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s8_r2 |      svt|   0.0000*cm   9.6376*cm -12.5403*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s8_r2 |      svt|   0.0000*cm   9.6376*cm  -1.3666*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s8_r2 |      svt|   0.0000*cm   9.6376*cm   9.8071*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s9_r2 |      svt|   4.0305*cm   8.3695*cm -12.5403*cm| ordered: zyx  -334.2857*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s9_r2 |      svt|   4.0305*cm   8.3695*cm  -1.3666*cm| ordered: zyx  -334.2857*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s9_r2 |      svt|   4.0305*cm   8.3695*cm   9.8071*cm| ordered: zyx  -334.2857*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s9_r2 |      svt|   4.1816*cm   8.6832*cm -12.5403*cm| ordered: zyx  -334.2857*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s9_r2 |      svt|   4.1816*cm   8.6832*cm  -1.3666*cm| ordered: zyx  -334.2857*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s9_r2 |      svt|   4.1816*cm   8.6832*cm   9.8071*cm| ordered: zyx  -334.2857*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s10_r2 |      svt|   7.2627*cm   5.7918*cm -12.5403*cm| ordered: zyx  -308.5714*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s10_r2 |      svt|   7.2627*cm   5.7918*cm  -1.3666*cm| ordered: zyx  -308.5714*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s10_r2 |      svt|   7.2627*cm   5.7918*cm   9.8071*cm| ordered: zyx  -308.5714*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s10_r2 |      svt|   7.5350*cm   6.0089*cm -12.5403*cm| ordered: zyx  -308.5714*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s10_r2 |      svt|   7.5350*cm   6.0089*cm  -1.3666*cm| ordered: zyx  -308.5714*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s10_r2 |      svt|   7.5350*cm   6.0089*cm   9.8071*cm| ordered: zyx  -308.5714*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
