         ahdc_mother  |                root  |                  Alert mother  |                              0.0*mm 0.0*mm 0.0*mm  |                                   0 0 0  | aa00ff   |                Tube  |                      2.5*cm 21.0*cm 20.0*cm 0.*deg 360.*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
superlayer0_layer0_ahdccell6_subcell1  |         ahdc_mother  |          AHDCcell 6 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -21.071496*mm     -26.683179*mm     -22.806681*mm     -25.216172*mm     -20.123542*mm     -22.249563*mm     -18.592497*mm     -23.543982*mm     -28.926914*mm     -17.867110*mm     -30.055708*mm     -15.895106*mm     -26.519743*mm     -14.025094*mm     -25.523748*mm     -15.765097*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 6 side manual 0 
superlayer0_layer0_ahdccell6_subcell2  |         ahdc_mother  |          AHDCcell 6 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -18.592497*mm     -23.543982*mm     -16.978413*mm     -24.733247*mm     -19.242201*mm     -28.031013*mm     -21.071496*mm     -26.683179*mm     -25.523748*mm     -15.765097*mm     -24.413758*mm     -17.434690*mm     -27.668926*mm     -19.759316*mm     -28.926914*mm     -17.867110*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 6 side manual 0 
superlayer0_layer0_ahdccell7_subcell1  |         ahdc_mother  |          AHDCcell 7 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -24.440005*mm     -23.636543*mm     -25.964175*mm     -21.951347*mm     -22.909566*mm     -19.368836*mm     -21.564711*mm     -20.855773*mm     -31.050266*mm     -13.852111*mm     -31.906146*mm     -11.747248*mm     -28.152482*mm     -10.365219*mm     -27.397294*mm     -12.222450*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 7 side manual 0 
superlayer0_layer0_ahdccell7_subcell2  |         ahdc_mother  |          AHDCcell 7 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -21.564711*mm     -20.855773*mm     -20.123542*mm     -22.249563*mm     -22.806681*mm     -25.216172*mm     -24.440005*mm     -23.636543*mm     -27.397294*mm     -12.222450*mm     -26.519743*mm     -14.025094*mm     -30.055708*mm     -15.895106*mm     -31.050266*mm     -13.852111*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 7 side manual 0 
superlayer0_layer0_ahdccell8_subcell1  |         ahdc_mother  |          AHDCcell 8 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -27.372382*mm     -20.168111*mm     -28.658337*mm     -18.294800*mm     -25.286768*mm     -16.142471*mm     -24.152102*mm     -17.795392*mm     -32.619526*mm      -9.589919*mm     -33.187218*mm      -7.389760*mm     -29.282840*mm      -6.520376*mm     -28.781934*mm      -8.461694*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 8 side manual 0 
superlayer0_layer0_ahdccell8_subcell2  |         ahdc_mother  |          AHDCcell 8 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -24.152102*mm     -17.795392*mm     -22.909566*mm     -19.368836*mm     -25.964175*mm     -21.951347*mm     -27.372382*mm     -20.168111*mm     -28.781934*mm      -8.461694*mm     -28.152482*mm     -10.365219*mm     -31.906146*mm     -11.747248*mm     -32.619526*mm      -9.589919*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 8 side manual 0 
superlayer0_layer0_ahdccell9_subcell1  |         ahdc_mother  |          AHDCcell 9 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -29.816298*mm     -16.339780*mm     -30.841091*mm     -14.311782*mm     -27.212727*mm     -12.628043*mm     -26.308498*mm     -14.417453*mm     -33.606689*mm      -5.156596*mm     -33.876063*mm      -2.900401*mm     -29.890644*mm      -2.559178*mm     -29.652961*mm      -4.549938*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 9 side manual 0 
superlayer0_layer0_ahdccell9_subcell2  |         ahdc_mother  |          AHDCcell 9 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -26.308498*mm     -14.417453*mm     -25.286768*mm     -16.142471*mm     -28.658337*mm     -18.294800*mm     -29.816298*mm     -16.339780*mm     -29.652961*mm      -4.549938*mm     -29.282840*mm      -6.520376*mm     -33.187218*mm      -7.389760*mm     -33.606689*mm      -5.156596*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 9 side manual 0 
superlayer0_layer0_ahdccell10_subcell1  |         ahdc_mother  |         AHDCcell 10 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -31.728141*mm     -12.219864*mm     -32.473485*mm     -10.073370*mm     -28.653075*mm      -8.888267*mm     -27.995418*mm     -10.782233*mm     -33.994139*mm      -0.631253*mm     -33.960390*mm       1.640715*mm     -29.965050*mm       1.447689*mm     -29.994829*mm      -0.556988*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 10 side manual 0 
superlayer0_layer0_ahdccell10_subcell2  |         ahdc_mother  |         AHDCcell 10 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -27.995418*mm     -10.782233*mm     -27.212727*mm     -12.628043*mm     -30.841091*mm     -14.311782*mm     -31.728141*mm     -12.219864*mm     -29.994829*mm      -0.556988*mm     -29.890644*mm      -2.559178*mm     -33.876063*mm      -2.900401*mm     -33.994139*mm      -0.631253*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 10 side manual 0 
