          region2_s6  |                  fc  |CLAS12 Drift Chambers, Sector 6 Region 2  |         79.944919*cm -138.468662*cm 332.581735*cm  |ordered: zxy -210.0*deg 25.0*deg 0.0*deg  | aa0000   |              G4Trap  |16.5657815*cm -0.4363323129985824*rad 1.5707963267948966*rad 147.39493415106674*cm 5.022506624571695*cm 158.5372327175301*cm 0.0*rad 147.39493415106674*cm 5.022506624571695*cm 158.5372327175301*cm 0.0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s1  |                  fc  |CLAS12 Drift Chambers, Sector 1 Region 3  |           230.271602*cm 0.000000*cm 455.959667*cm  |  ordered: zxy 90.0*deg 25.0*deg 0.0*deg  | aa0000   |              G4Trap  |20.877781*cm -0.4363323129985824*rad 1.5707963267948966*rad 216.36367490503778*cm 10.442662608005367*cm 231.69122174509255*cm 0.0*rad 216.36367490503778*cm 10.442662608005367*cm 231.69122174509255*cm 0.0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s2  |                  fc  |CLAS12 Drift Chambers, Sector 2 Region 3  |         115.135801*cm 199.421057*cm 455.959667*cm  |ordered: zxy 29.999999999999996*deg 25.0*deg 0.0*deg  | aa0000   |              G4Trap  |20.877781*cm -0.4363323129985824*rad 1.5707963267948966*rad 216.36367490503778*cm 10.442662608005367*cm 231.69122174509255*cm 0.0*rad 216.36367490503778*cm 10.442662608005367*cm 231.69122174509255*cm 0.0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s3  |                  fc  |CLAS12 Drift Chambers, Sector 3 Region 3  |        -115.135801*cm 199.421057*cm 455.959667*cm  |ordered: zxy -29.999999999999996*deg 25.0*deg 0.0*deg  | aa0000   |              G4Trap  |20.877781*cm -0.4363323129985824*rad 1.5707963267948966*rad 216.36367490503778*cm 10.442662608005367*cm 231.69122174509255*cm 0.0*rad 216.36367490503778*cm 10.442662608005367*cm 231.69122174509255*cm 0.0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s4  |                  fc  |CLAS12 Drift Chambers, Sector 4 Region 3  |          -230.271602*cm 0.000000*cm 455.959667*cm  | ordered: zxy -90.0*deg 25.0*deg 0.0*deg  | aa0000   |              G4Trap  |20.877781*cm -0.4363323129985824*rad 1.5707963267948966*rad 216.36367490503778*cm 10.442662608005367*cm 231.69122174509255*cm 0.0*rad 216.36367490503778*cm 10.442662608005367*cm 231.69122174509255*cm 0.0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s5  |                  fc  |CLAS12 Drift Chambers, Sector 5 Region 3  |       -115.135801*cm -199.421057*cm 455.959667*cm  |ordered: zxy -150.00000000000003*deg 25.0*deg 0.0*deg  | aa0000   |              G4Trap  |20.877781*cm -0.4363323129985824*rad 1.5707963267948966*rad 216.36367490503778*cm 10.442662608005367*cm 231.69122174509255*cm 0.0*rad 216.36367490503778*cm 10.442662608005367*cm 231.69122174509255*cm 0.0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s6  |                  fc  |CLAS12 Drift Chambers, Sector 6 Region 3  |        115.135801*cm -199.421057*cm 455.959667*cm  |ordered: zxy -210.0*deg 25.0*deg 0.0*deg  | aa0000   |              G4Trap  |20.877781*cm -0.4363323129985824*rad 1.5707963267948966*rad 216.36367490503778*cm 10.442662608005367*cm 231.69122174509255*cm 0.0*rad 216.36367490503778*cm 10.442662608005367*cm 231.69122174509255*cm 0.0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       sl1_layer1_s1  |          region1_s1  |Region 1, Super Layer 1, layer 1, Sector 1  |            -2.494706*cm -5.241092*cm -8.390510*cm  |    ordered: yxz 0.0*deg 0.0*deg 6.0*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314016*cm 7.247415957575475*cm 85.84128533399023*cm -0.13234748605531266*rad 75.57990760314016*cm 7.247415957575475*cm 85.84128533399023*cm -0.13234748605531266*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s2  |          region1_s2  |Region 1, Super Layer 1, layer 1, Sector 2  |            -2.494706*cm -5.241092*cm -8.390510*cm  |    ordered: yxz 0.0*deg 0.0*deg 6.0*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314016*cm 7.247415957575475*cm 85.84128533399023*cm -0.13234748605531266*rad 75.57990760314016*cm 7.247415957575475*cm 85.84128533399023*cm -0.13234748605531266*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s3  |          region1_s3  |Region 1, Super Layer 1, layer 1, Sector 3  |            -2.494706*cm -5.241092*cm -8.390510*cm  |    ordered: yxz 0.0*deg 0.0*deg 6.0*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990760314016*cm 7.247415957575475*cm 85.84128533399023*cm -0.13234748605531266*rad 75.57990760314016*cm 7.247415957575475*cm 85.84128533399023*cm -0.13234748605531266*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 1 wire manual 1 
