                 cnd  |              bankid  |                                       cnd bank ID  |  300   |                  Di  
                 cnd  |              sector  |                                     sector number  |    1   |                  Di  
                 cnd  |               layer  |                                      layer number  |    2   |                  Di  
                 cnd  |              paddle  |                                     paddle number  |    3   |                  Di  
                 cnd  |                ADCD  |                                        ADC Direct  |    4   |                  Di  
                 cnd  |                ADCN  |                                      ADC Neighbor  |    5   |                  Di  
                 cnd  |                TDCD  |                                        TDC Direct  |    6   |                  Di  
                 cnd  |                TDCN  |                                      TDC Neighbor  |    7   |                  Di  
                 cnd  |                hitn  |                                        hit number  |   99   |                  Di  
