                 bst  |              bankid  |                                       bst bank ID  |  100   |                  Di  
                 bst  |              sector  |                                     sector number  |    1   |                  Di  
                 bst  |               layer  |                                      layer number  |    2   |                  Di  
                 bst  |           component  |                                      strip number  |    3   |                  Di  
                 bst  |           ADC_order  |                                          always 0  |    4   |                  Di  
                 bst  |             ADC_ADC  |                                         3 bit ADC  |    5   |                  Di  
                 bst  |            ADC_time  |                             8 bit time info (bco)  |    6   |                  Dd  
                 bst  |             ADC_ped  |                                          always 0  |    7   |                  Di  
                 bst  |                hitn  |                                        hit number  |   99   |                  Di  
