panel1a_sector3_paddle_3  |         ftof_p1a_s3  |paddle 3 - Panel 1B - Sector 3  |                            0*cm 0*cm -136.3356*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                      32*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 3 panel manual 1 paddle manual 3 side manual 0 
panel1a_sector3_paddle_4  |         ftof_p1a_s3  |paddle 4 - Panel 1B - Sector 3  |                            0*cm 0*cm -121.1872*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                    39.9*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 3 panel manual 1 paddle manual 4 side manual 0 
panel1a_sector3_paddle_5  |         ftof_p1a_s3  |paddle 5 - Panel 1B - Sector 3  |                            0*cm 0*cm -106.0388*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                   47.85*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 3 panel manual 1 paddle manual 5 side manual 0 
panel1b_sector3_paddle_1  |         ftof_p1b_s3  |paddle 1 - Panel 1B - Sector 3  |                               0*cm 0*cm -186.7*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                          8.635*cm 3*cm 3*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 3 panel manual 2 paddle manual 1 side manual 0 
panel1b_sector3_paddle_2  |         ftof_p1b_s3  |paddle 2 - Panel 1B - Sector 3  |                              0*cm 0*cm -180.66*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                          11.81*cm 3*cm 3*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 3 panel manual 2 paddle manual 2 side manual 0 
panel1b_sector3_paddle_3  |         ftof_p1b_s3  |paddle 3 - Panel 1B - Sector 3  |                              0*cm 0*cm -174.46*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                          15.04*cm 3*cm 3*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 3 panel manual 2 paddle manual 3 side manual 0 
panel1b_sector3_paddle_4  |         ftof_p1b_s3  |paddle 4 - Panel 1B - Sector 3  |                              0*cm 0*cm -168.42*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                         18.215*cm 3*cm 3*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 3 panel manual 2 paddle manual 4 side manual 0 
panel1b_sector3_paddle_5  |         ftof_p1b_s3  |paddle 5 - Panel 1B - Sector 3  |                              0*cm 0*cm -162.22*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                         21.445*cm 3*cm 3*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 3 panel manual 2 paddle manual 5 side manual 0 
panel2_sector3_paddle_1  |          ftof_p2_s3  | paddle 1 - Panel 2 - Sector 3  |                              0*cm 0*cm -44.604*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                     185.65*cm 2.54*cm 11*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 3  panel manual 3  paddle manual 1 side manual 0 
panel2_sector3_paddle_2  |          ftof_p2_s3  | paddle 2 - Panel 2 - Sector 3  |                              0*cm 0*cm -22.302*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                      192.5*cm 2.54*cm 11*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 3  panel manual 3  paddle manual 2 side manual 0 
panel2_sector3_paddle_3  |          ftof_p2_s3  | paddle 3 - Panel 2 - Sector 3  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                     199.35*cm 2.54*cm 11*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 3  panel manual 3  paddle manual 3 side manual 0 
panel2_sector3_paddle_4  |          ftof_p2_s3  | paddle 4 - Panel 2 - Sector 3  |                               0*cm 0*cm 22.302*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                     206.25*cm 2.54*cm 11*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 3  panel manual 3  paddle manual 4 side manual 0 
panel2_sector3_paddle_5  |          ftof_p2_s3  | paddle 5 - Panel 2 - Sector 3  |                               0*cm 0*cm 44.604*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                      213.1*cm 2.54*cm 11*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 3  panel manual 3  paddle manual 5 side manual 0 
panel1a_sector4_paddle_1  |         ftof_p1a_s4  |paddle 1 - Panel 1B - Sector 4  |                            0*cm 0*cm -166.6324*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                   16.15*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 4 panel manual 1 paddle manual 1 side manual 0 
panel1a_sector4_paddle_2  |         ftof_p1a_s4  |paddle 2 - Panel 1B - Sector 4  |                             0*cm 0*cm -151.484*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                   24.05*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 4 panel manual 1 paddle manual 2 side manual 0 
panel1a_sector4_paddle_3  |         ftof_p1a_s4  |paddle 3 - Panel 1B - Sector 4  |                            0*cm 0*cm -136.3356*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                      32*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 4 panel manual 1 paddle manual 3 side manual 0 
