           pcal_s1 |       fc | 207.191572*cm -1.54*cm 689.1902143*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 14.9118*cm 0*rad 0*rad 192.6750353*cm 0.000001*cm 197.15*cm 0*rad 192.6750353*cm 0.000001*cm 197.15*cm 0*rad  | 
W-view_single_strip_1_31_s6 | W-view-scintillator_3_s6 | -3.5466785*cm 33.7984336*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 88.708339*cm 85.9646829*cm -0.1045535*rad 2.225*cm 88.708339*cm 85.9646829*cm -0.1045535*rad  |   33   6   3  16
W-view_single_strip_1_32_s6 | W-view-scintillator_3_s6 | -3.0744657*cm 29.2984336*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 91.4828226*cm 88.7391665*cm -0.1045535*rad 2.225*cm 91.4828226*cm 88.7391665*cm -0.1045535*rad  |   33   6   3  17
W-view_single_strip_1_33_s6 | W-view-scintillator_3_s6 | -2.6022529*cm 24.7984336*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 94.2573062*cm 91.5136502*cm -0.1045535*rad 2.225*cm 94.2573062*cm 91.5136502*cm -0.1045535*rad  |   33   6   3  18
W-view_single_strip_1_34_s6 | W-view-scintillator_3_s6 | -2.1300401*cm 20.2984336*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 97.0317899*cm 94.2881338*cm -0.1045535*rad 2.225*cm 97.0317899*cm 94.2881338*cm -0.1045535*rad  |   33   6   3  19
W-view_single_strip_1_35_s6 | W-view-scintillator_3_s6 | -1.6578273*cm 15.7984336*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 99.8062735*cm 97.0626175*cm -0.1045535*rad 2.225*cm 99.8062735*cm 97.0626175*cm -0.1045535*rad  |   33   6   3  20
W-view_single_strip_1_36_s6 | W-view-scintillator_3_s6 | -1.1856144*cm 11.2984336*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 102.5807571*cm 99.8371011*cm -0.1045535*rad 2.225*cm 102.5807571*cm 99.8371011*cm -0.1045535*rad  |   33   6   3  21
W-view_single_strip_1_37_s6 | W-view-scintillator_3_s6 | -0.7134016*cm 6.7984336*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 105.3552408*cm 102.6115847*cm -0.1045535*rad 2.225*cm 105.3552408*cm 102.6115847*cm -0.1045535*rad  |   33   6   3  22
W-view_single_strip_1_38_s6 | W-view-scintillator_3_s6 | -0.2411888*cm 2.2984336*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 108.1297244*cm 105.3860684*cm -0.1045535*rad 2.225*cm 108.1297244*cm 105.3860684*cm -0.1045535*rad  |   33   6   3  23
W-view_single_strip_1_39_s6 | W-view-scintillator_3_s6 | 0.231024*cm -2.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 110.904208*cm 108.160552*cm -0.1045535*rad 2.225*cm 110.904208*cm 108.160552*cm -0.1045535*rad  |   33   6   3  24
W-view_single_strip_1_40_s6 | W-view-scintillator_3_s6 | 0.7032368*cm -6.7015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 113.6786917*cm 110.9350356*cm -0.1045535*rad 2.225*cm 113.6786917*cm 110.9350356*cm -0.1045535*rad  |   33   6   3  25
W-view_single_strip_1_41_s6 | W-view-scintillator_3_s6 | 1.1754496*cm -11.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 116.4531753*cm 113.7095193*cm -0.1045535*rad 2.225*cm 116.4531753*cm 113.7095193*cm -0.1045535*rad  |   33   6   3  26
W-view_single_strip_1_42_s6 | W-view-scintillator_3_s6 | 1.6476624*cm -15.7015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 119.2276589*cm 116.4840029*cm -0.1045535*rad 2.225*cm 119.2276589*cm 116.4840029*cm -0.1045535*rad  |   33   6   3  27
W-view_single_strip_1_43_s6 | W-view-scintillator_3_s6 | 2.1198752*cm -20.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 122.0021426*cm 119.2584865*cm -0.1045535*rad 2.225*cm 122.0021426*cm 119.2584865*cm -0.1045535*rad  |   33   6   3  28
W-view_single_strip_1_44_s6 | W-view-scintillator_3_s6 | 2.592088*cm -24.7015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 124.7766262*cm 122.0329702*cm -0.1045535*rad 2.225*cm 124.7766262*cm 122.0329702*cm -0.1045535*rad  |   33   6   3  29
W-view_single_strip_1_45_s6 | W-view-scintillator_3_s6 | 3.0643008*cm -29.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 127.5511099*cm 124.8074538*cm -0.1045535*rad 2.225*cm 127.5511099*cm 124.8074538*cm -0.1045535*rad  |   33   6   3  30
W-view_single_strip_1_46_s6 | W-view-scintillator_3_s6 | 3.5365136*cm -33.7015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 130.3255935*cm 127.5819374*cm -0.1045535*rad 2.225*cm 130.3255935*cm 127.5819374*cm -0.1045535*rad  |   33   6   3  31
W-view_single_strip_1_47_s6 | W-view-scintillator_3_s6 | 4.0087264*cm -38.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 133.1000771*cm 130.3564211*cm -0.1045535*rad 2.225*cm 133.1000771*cm 130.3564211*cm -0.1045535*rad  |   33   6   3  32
W-view_single_strip_1_48_s6 | W-view-scintillator_3_s6 | 4.4809392*cm -42.7015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 135.8745608*cm 133.1309047*cm -0.1045535*rad 2.225*cm 135.8745608*cm 133.1309047*cm -0.1045535*rad  |   33   6   3  33
W-view_single_strip_1_49_s6 | W-view-scintillator_3_s6 | 4.953152*cm -47.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 138.6490444*cm 135.9053884*cm -0.1045535*rad 2.225*cm 138.6490444*cm 135.9053884*cm -0.1045535*rad  |   33   6   3  34
W-view_single_strip_1_50_s6 | W-view-scintillator_3_s6 | 5.4253648*cm -51.7015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 141.423528*cm 138.679872*cm -0.1045535*rad 2.225*cm 141.423528*cm 138.679872*cm -0.1045535*rad  |   33   6   3  35
W-view_single_strip_1_51_s6 | W-view-scintillator_3_s6 | 5.8975776*cm -56.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 144.1980117*cm 141.4543556*cm -0.1045535*rad 2.225*cm 144.1980117*cm 141.4543556*cm -0.1045535*rad  |   33   6   3  36
W-view_single_strip_1_52_s6 | W-view-scintillator_3_s6 | 6.3697904*cm -60.7015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 146.9724953*cm 144.2288393*cm -0.1045535*rad 2.225*cm 146.9724953*cm 144.2288393*cm -0.1045535*rad  |   33   6   3  37
W-view_single_strip_1_53_s6 | W-view-scintillator_3_s6 | 6.8420032*cm -65.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 149.7469789*cm 147.0033229*cm -0.1045535*rad 2.225*cm 149.7469789*cm 147.0033229*cm -0.1045535*rad  |   33   6   3  38
W-view_single_strip_1_54_s6 | W-view-scintillator_3_s6 | 7.3142161*cm -69.7015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 152.5214626*cm 149.7778065*cm -0.1045535*rad 2.225*cm 152.5214626*cm 149.7778065*cm -0.1045535*rad  |   33   6   3  39
W-view_single_strip_1_55_s6 | W-view-scintillator_3_s6 | 7.7864289*cm -74.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 155.2959462*cm 152.5522902*cm -0.1045535*rad 2.225*cm 155.2959462*cm 152.5522902*cm -0.1045535*rad  |   33   6   3  40
W-view_single_strip_1_56_s6 | W-view-scintillator_3_s6 | 8.2586417*cm -78.7015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 158.0704298*cm 155.3267738*cm -0.1045535*rad 2.225*cm 158.0704298*cm 155.3267738*cm -0.1045535*rad  |   33   6   3  41
W-view_single_strip_1_57_s6 | W-view-scintillator_3_s6 | 8.7308545*cm -83.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 160.8449135*cm 158.1012574*cm -0.1045535*rad 2.225*cm 160.8449135*cm 158.1012574*cm -0.1045535*rad  |   33   6   3  42
W-view_single_strip_1_58_s6 | W-view-scintillator_3_s6 | 9.2030673*cm -87.7015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 163.6193971*cm 160.8757411*cm -0.1045535*rad 2.225*cm 163.6193971*cm 160.8757411*cm -0.1045535*rad  |   33   6   3  43
W-view_single_strip_1_59_s6 | W-view-scintillator_3_s6 | 9.6752801*cm -92.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 166.3938808*cm 163.6502247*cm -0.1045535*rad 2.225*cm 166.3938808*cm 163.6502247*cm -0.1045535*rad  |   33   6   3  44
W-view_single_strip_1_60_s6 | W-view-scintillator_3_s6 | 10.1474929*cm -96.7015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 169.1683644*cm 166.4247084*cm -0.1045535*rad 2.225*cm 169.1683644*cm 166.4247084*cm -0.1045535*rad  |   33   6   3  45
W-view_single_strip_1_61_s6 | W-view-scintillator_3_s6 | 10.6197057*cm -101.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 171.942848*cm 169.199192*cm -0.1045535*rad 2.225*cm 171.942848*cm 169.199192*cm -0.1045535*rad  |   33   6   3  46
W-view_single_strip_1_62_s6 | W-view-scintillator_3_s6 | 11.0919185*cm -105.7015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 174.7173317*cm 171.9736756*cm -0.1045535*rad 2.225*cm 174.7173317*cm 171.9736756*cm -0.1045535*rad  |   33   6   3  47
W-view_single_strip_1_63_s6 | W-view-scintillator_3_s6 | 11.5641313*cm -110.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 177.4918153*cm 174.7481593*cm -0.1045535*rad 2.225*cm 177.4918153*cm 174.7481593*cm -0.1045535*rad  |   33   6   3  48
W-view_single_strip_1_64_s6 | W-view-scintillator_3_s6 | 12.0363441*cm -114.7015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 180.2662989*cm 177.5226429*cm -0.1045535*rad 2.225*cm 180.2662989*cm 177.5226429*cm -0.1045535*rad  |   33   6   3  49
W-view_single_strip_1_65_s6 | W-view-scintillator_3_s6 | 12.5085569*cm -119.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 183.0407826*cm 180.2971265*cm -0.1045535*rad 2.225*cm 183.0407826*cm 180.2971265*cm -0.1045535*rad  |   33   6   3  50
W-view_single_strip_1_66_s6 | W-view-scintillator_3_s6 | 12.9807697*cm -123.7015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 185.8152662*cm 183.0716102*cm -0.1045535*rad 2.225*cm 185.8152662*cm 183.0716102*cm -0.1045535*rad  |   33   6   3  51
W-view_single_strip_1_67_s6 | W-view-scintillator_3_s6 | 13.4529825*cm -128.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 188.5897498*cm 185.8460938*cm -0.1045535*rad 2.225*cm 188.5897498*cm 185.8460938*cm -0.1045535*rad  |   33   6   3  52
W-view_single_strip_1_68_s6 | W-view-scintillator_3_s6 | 13.9251953*cm -132.7015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 191.3642335*cm 188.6205774*cm -0.1045535*rad 2.225*cm 191.3642335*cm 188.6205774*cm -0.1045535*rad  |   33   6   3  53
W-view_single_strip_1_69_s6 | W-view-scintillator_3_s6 | 14.3974081*cm -137.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 194.1387171*cm 191.3950611*cm -0.1045535*rad 2.225*cm 194.1387171*cm 191.3950611*cm -0.1045535*rad  |   33   6   3  54
W-view_single_strip_1_70_s6 | W-view-scintillator_3_s6 | 14.8696209*cm -141.7015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 196.9132008*cm 194.1695447*cm -0.1045535*rad 2.225*cm 196.9132008*cm 194.1695447*cm -0.1045535*rad  |   33   6   3  55
W-view_single_strip_1_71_s6 | W-view-scintillator_3_s6 | 15.3418338*cm -146.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 199.6876844*cm 196.9440283*cm -0.1045535*rad 2.225*cm 199.6876844*cm 196.9440283*cm -0.1045535*rad  |   33   6   3  56
W-view_single_strip_1_72_s6 | W-view-scintillator_3_s6 | 15.8140466*cm -150.7015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 202.462168*cm 199.718512*cm -0.1045535*rad 2.225*cm 202.462168*cm 199.718512*cm -0.1045535*rad  |   33   6   3  57
W-view_single_strip_1_73_s6 | W-view-scintillator_3_s6 | 16.2862594*cm -155.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 205.2366517*cm 202.4929956*cm -0.1045535*rad 2.225*cm 205.2366517*cm 202.4929956*cm -0.1045535*rad  |   33   6   3  58
W-view_single_strip_1_74_s6 | W-view-scintillator_3_s6 | 16.7584722*cm -159.7015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 208.0111353*cm 205.2674793*cm -0.1045535*rad 2.225*cm 208.0111353*cm 205.2674793*cm -0.1045535*rad  |   33   6   3  59
W-view_single_strip_1_75_s6 | W-view-scintillator_3_s6 | 17.230685*cm -164.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 210.7856189*cm 208.0419629*cm -0.1045535*rad 2.225*cm 210.7856189*cm 208.0419629*cm -0.1045535*rad  |   33   6   3  60
W-view_single_strip_1_76_s6 | W-view-scintillator_3_s6 | 17.7028978*cm -168.7015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 213.5601026*cm 210.8164465*cm -0.1045535*rad 2.225*cm 213.5601026*cm 210.8164465*cm -0.1045535*rad  |   33   6   3  61
W-view_single_strip_1_77_s6 | W-view-scintillator_3_s6 | 18.1751106*cm -173.2015664*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 216.3345862*cm 213.5909302*cm -0.1045535*rad 2.225*cm 216.3345862*cm 213.5909302*cm -0.1045535*rad  |   33   6   3  62
PCAL_Lead_Layer_3_s6 |  pcal_s6 | 0*cm 0*cm -5.6934*cm | 0 0 0 |   G4Trap | 0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  | 
U-view-scintillator_4_s6 |  pcal_s6 | 0*cm 0*cm -5.0608*cm | 0 0 0 |   G4Trap | 0.525*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  | 
U-view_single_strip_2_0_s6 | U-view-scintillator_4_s6 | 0*cm -189*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 3.6000353*cm 0.0127904*cm 3.6964599*cm 0*rad 3.6000353*cm 0.0127904*cm 3.6964599*cm 0*rad  | 
U-view_single_strip_2_1_s6 | U-view-scintillator_4_s6 | 0*cm -183.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 3.7220406*cm 5.9987307*cm 0*rad 2.225*cm 3.7220406*cm 5.9987307*cm 0*rad  |   33   6   4   1
U-view_single_strip_2_2_s6 | U-view-scintillator_4_s6 | 0*cm -178.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 6.0243115*cm 8.3010015*cm 0*rad 2.225*cm 6.0243115*cm 8.3010015*cm 0*rad  |   33   6   4   2
U-view_single_strip_2_3_s6 | U-view-scintillator_4_s6 | 0*cm -174.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 8.3265823*cm 10.6032724*cm 0*rad 2.225*cm 8.3265823*cm 10.6032724*cm 0*rad  |   33   6   4   3
U-view_single_strip_2_4_s6 | U-view-scintillator_4_s6 | 0*cm -169.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 10.6288531*cm 12.9055432*cm 0*rad 2.225*cm 10.6288531*cm 12.9055432*cm 0*rad  |   33   6   4   4
U-view_single_strip_2_5_s6 | U-view-scintillator_4_s6 | 0*cm -165.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 12.931124*cm 15.207814*cm 0*rad 2.225*cm 12.931124*cm 15.207814*cm 0*rad  |   33   6   4   5
U-view_single_strip_2_6_s6 | U-view-scintillator_4_s6 | 0*cm -160.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 15.2333948*cm 17.5100848*cm 0*rad 2.225*cm 15.2333948*cm 17.5100848*cm 0*rad  |   33   6   4   6
U-view_single_strip_2_7_s6 | U-view-scintillator_4_s6 | 0*cm -156.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 17.5356656*cm 19.8123557*cm 0*rad 2.225*cm 17.5356656*cm 19.8123557*cm 0*rad  |   33   6   4   7
U-view_single_strip_2_8_s6 | U-view-scintillator_4_s6 | 0*cm -151.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 19.8379365*cm 22.1146265*cm 0*rad 2.225*cm 19.8379365*cm 22.1146265*cm 0*rad  |   33   6   4   8
U-view_single_strip_2_9_s6 | U-view-scintillator_4_s6 | 0*cm -147.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 22.1402073*cm 24.4168973*cm 0*rad 2.225*cm 22.1402073*cm 24.4168973*cm 0*rad  |   33   6   4   9
U-view_single_strip_2_10_s6 | U-view-scintillator_4_s6 | 0*cm -142.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 24.4424781*cm 26.7191682*cm 0*rad 2.225*cm 24.4424781*cm 26.7191682*cm 0*rad  |   33   6   4  10
U-view_single_strip_2_11_s6 | U-view-scintillator_4_s6 | 0*cm -138.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 26.744749*cm 29.021439*cm 0*rad 2.225*cm 26.744749*cm 29.021439*cm 0*rad  |   33   6   4  11
U-view_single_strip_2_12_s6 | U-view-scintillator_4_s6 | 0*cm -133.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 29.0470198*cm 31.3237098*cm 0*rad 2.225*cm 29.0470198*cm 31.3237098*cm 0*rad  |   33   6   4  12
U-view_single_strip_2_13_s6 | U-view-scintillator_4_s6 | 0*cm -129.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 31.3492906*cm 33.6259807*cm 0*rad 2.225*cm 31.3492906*cm 33.6259807*cm 0*rad  |   33   6   4  13
U-view_single_strip_2_14_s6 | U-view-scintillator_4_s6 | 0*cm -124.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 33.6515614*cm 35.9282515*cm 0*rad 2.225*cm 33.6515614*cm 35.9282515*cm 0*rad  |   33   6   4  14
U-view_single_strip_2_15_s6 | U-view-scintillator_4_s6 | 0*cm -120.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 35.9538323*cm 38.2305223*cm 0*rad 2.225*cm 35.9538323*cm 38.2305223*cm 0*rad  |   33   6   4  15
U-view_single_strip_2_16_s6 | U-view-scintillator_4_s6 | 0*cm -115.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 38.2561031*cm 40.5327931*cm 0*rad 2.225*cm 38.2561031*cm 40.5327931*cm 0*rad  |   33   6   4  16
U-view_single_strip_2_17_s6 | U-view-scintillator_4_s6 | 0*cm -111.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 40.5583739*cm 42.835064*cm 0*rad 2.225*cm 40.5583739*cm 42.835064*cm 0*rad  |   33   6   4  17
U-view_single_strip_2_18_s6 | U-view-scintillator_4_s6 | 0*cm -106.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 42.8606448*cm 45.1373348*cm 0*rad 2.225*cm 42.8606448*cm 45.1373348*cm 0*rad  |   33   6   4  18
U-view_single_strip_2_19_s6 | U-view-scintillator_4_s6 | 0*cm -102.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 45.1629156*cm 47.4396056*cm 0*rad 2.225*cm 45.1629156*cm 47.4396056*cm 0*rad  |   33   6   4  19
U-view_single_strip_2_20_s6 | U-view-scintillator_4_s6 | 0*cm -97.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 47.4651864*cm 49.7418765*cm 0*rad 2.225*cm 47.4651864*cm 49.7418765*cm 0*rad  |   33   6   4  20
U-view_single_strip_2_21_s6 | U-view-scintillator_4_s6 | 0*cm -93.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 49.7674573*cm 52.0441473*cm 0*rad 2.225*cm 49.7674573*cm 52.0441473*cm 0*rad  |   33   6   4  21
U-view_single_strip_2_22_s6 | U-view-scintillator_4_s6 | 0*cm -88.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 52.0697281*cm 54.3464181*cm 0*rad 2.225*cm 52.0697281*cm 54.3464181*cm 0*rad  |   33   6   4  22
U-view_single_strip_2_23_s6 | U-view-scintillator_4_s6 | 0*cm -84.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 54.3719989*cm 56.648689*cm 0*rad 2.225*cm 54.3719989*cm 56.648689*cm 0*rad  |   33   6   4  23
U-view_single_strip_2_24_s6 | U-view-scintillator_4_s6 | 0*cm -79.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 56.6742697*cm 58.9509598*cm 0*rad 2.225*cm 56.6742697*cm 58.9509598*cm 0*rad  |   33   6   4  24
U-view_single_strip_2_25_s6 | U-view-scintillator_4_s6 | 0*cm -75.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 58.9765406*cm 61.2532306*cm 0*rad 2.225*cm 58.9765406*cm 61.2532306*cm 0*rad  |   33   6   4  25
U-view_single_strip_2_26_s6 | U-view-scintillator_4_s6 | 0*cm -70.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 61.2788114*cm 63.5555015*cm 0*rad 2.225*cm 61.2788114*cm 63.5555015*cm 0*rad  |   33   6   4  26
U-view_single_strip_2_27_s6 | U-view-scintillator_4_s6 | 0*cm -66.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 63.5810822*cm 65.8577723*cm 0*rad 2.225*cm 63.5810822*cm 65.8577723*cm 0*rad  |   33   6   4  27
U-view_single_strip_2_28_s6 | U-view-scintillator_4_s6 | 0*cm -61.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 65.8833531*cm 68.1600431*cm 0*rad 2.225*cm 65.8833531*cm 68.1600431*cm 0*rad  |   33   6   4  28
U-view_single_strip_2_29_s6 | U-view-scintillator_4_s6 | 0*cm -57.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 68.1856239*cm 70.4623139*cm 0*rad 2.225*cm 68.1856239*cm 70.4623139*cm 0*rad  |   33   6   4  29
U-view_single_strip_2_30_s6 | U-view-scintillator_4_s6 | 0*cm -52.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 70.4878947*cm 72.7645848*cm 0*rad 2.225*cm 70.4878947*cm 72.7645848*cm 0*rad  |   33   6   4  30
U-view_single_strip_2_31_s6 | U-view-scintillator_4_s6 | 0*cm -48.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 72.7901656*cm 75.0668556*cm 0*rad 2.225*cm 72.7901656*cm 75.0668556*cm 0*rad  |   33   6   4  31
U-view_single_strip_2_32_s6 | U-view-scintillator_4_s6 | 0*cm -43.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 75.0924364*cm 77.3691264*cm 0*rad 2.225*cm 75.0924364*cm 77.3691264*cm 0*rad  |   33   6   4  32
U-view_single_strip_2_33_s6 | U-view-scintillator_4_s6 | 0*cm -39.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 77.3947072*cm 79.6713973*cm 0*rad 2.225*cm 77.3947072*cm 79.6713973*cm 0*rad  |   33   6   4  33
U-view_single_strip_2_34_s6 | U-view-scintillator_4_s6 | 0*cm -34.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 79.696978*cm 81.9736681*cm 0*rad 2.225*cm 79.696978*cm 81.9736681*cm 0*rad  |   33   6   4  34
U-view_single_strip_2_35_s6 | U-view-scintillator_4_s6 | 0*cm -30.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 81.9992489*cm 84.2759389*cm 0*rad 2.225*cm 81.9992489*cm 84.2759389*cm 0*rad  |   33   6   4  35
U-view_single_strip_2_36_s6 | U-view-scintillator_4_s6 | 0*cm -25.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 84.3015197*cm 86.5782098*cm 0*rad 2.225*cm 84.3015197*cm 86.5782098*cm 0*rad  |   33   6   4  36
