            bst_sl_1  |                root  |                 Super Layer 1  |                                  0*cm 0*cm -50*mm  |                                   0 0 0  | aaaaff   |                Tube  |                            60*mm 75*mm 325*mm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
wirebond_V_Layer1_Module3_Segment09  |            bst_sl_1  |Barrel Silicon Tracker, Wirebond V, Layer 1,  Module 3, Segment 9  |                   -61.641*mm -20.028*mm 53.394*mm  |                    0*deg 0*deg -108*deg  | a5af9a   |                 Box  |                                    18.375*mm 0.15*mm 1.5*mm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
wirebond_V_Layer1_Module3_Segment10  |            bst_sl_1  |Barrel Silicon Tracker, Wirebond V, Layer 1,  Module 3, Segment 10  |                   -38.096*mm -52.435*mm 53.394*mm  |                    0*deg 0*deg -144*deg  | a5af9a   |                 Box  |                                    18.375*mm 0.15*mm 1.5*mm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
si_V_Layer1_Module1_Segment01  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 1, Segment 1  |                 -0.000*mm -65.285*mm -114.0435*mm  |                     0*deg 0*deg 180*deg  | 353540   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 1 module manual 1 strip manual 1 
si_V_Layer1_Module1_Segment02  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 1, Segment 2  |                 38.374*mm -52.817*mm -114.0435*mm  |                     0*deg 0*deg 144*deg  | 353540   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 2 module manual 1 strip manual 1 
si_V_Layer1_Module1_Segment03  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 1, Segment 3  |                 62.090*mm -20.174*mm -114.0435*mm  |                     0*deg 0*deg 108*deg  | 353540   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 3 module manual 1 strip manual 1 
si_V_Layer1_Module1_Segment04  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 1, Segment 4  |                  62.090*mm 20.174*mm -114.0435*mm  |                      0*deg 0*deg 72*deg  | 353540   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     4   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 4 module manual 1 strip manual 1 
si_V_Layer1_Module1_Segment05  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 1, Segment 5  |                  38.374*mm 52.817*mm -114.0435*mm  |                      0*deg 0*deg 36*deg  | 353540   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     5   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 5 module manual 1 strip manual 1 
si_V_Layer1_Module1_Segment06  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 1, Segment 6  |                   0.000*mm 65.285*mm -114.0435*mm  |                       0*deg 0*deg 0*deg  | 353540   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     6   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 6 module manual 1 strip manual 1 
si_V_Layer1_Module1_Segment07  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 1, Segment 7  |                 -38.374*mm 52.817*mm -114.0435*mm  |                     0*deg 0*deg -36*deg  | 353540   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     7   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 7 module manual 1 strip manual 1 
si_V_Layer1_Module1_Segment08  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 1, Segment 8  |                 -62.090*mm 20.174*mm -114.0435*mm  |                     0*deg 0*deg -72*deg  | 353540   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     8   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 8 module manual 1 strip manual 1 
si_V_Layer1_Module1_Segment09  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 1, Segment 9  |                -62.090*mm -20.174*mm -114.0435*mm  |                    0*deg 0*deg -108*deg  | 353540   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     9   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 9 module manual 1 strip manual 1 
si_V_Layer1_Module1_Segment10  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 1, Segment 10  |                -38.374*mm -52.817*mm -114.0435*mm  |                    0*deg 0*deg -144*deg  | 353540   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |    10   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 10 module manual 1 strip manual 1 
si_V_Layer1_Module2_Segment01  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 2, Segment 1  |         -0.000*mm -65.285*mm -2.30649999999999*mm  |                     0*deg 0*deg 180*deg  | 404045   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 1 module manual 2 strip manual 1 
si_V_Layer1_Module2_Segment02  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 2, Segment 2  |         38.374*mm -52.817*mm -2.30649999999999*mm  |                     0*deg 0*deg 144*deg  | 404045   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 2 module manual 2 strip manual 1 
si_V_Layer1_Module2_Segment03  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 2, Segment 3  |         62.090*mm -20.174*mm -2.30649999999999*mm  |                     0*deg 0*deg 108*deg  | 404045   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 3 module manual 2 strip manual 1 
