             ec_s1 |       fc | 227.2889756*cm -0.752*cm 731.8939964*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 26.7767*cm 0*rad 0*rad 204.35336*cm 0.000001*cm 209.3246351*cm 0*rad 204.35336*cm 0.000001*cm 209.3246351*cm 0*rad  | 
lead_21_s1_view_3_stack_2 |    ec_s1 | 0*cm 0.1712*cm 3.31805*cm | 0 0 0 |   G4Trap | 0.11905*cm 0*rad 0*rad 195.430562*cm 0.000001*cm 200.1859369*cm 0*rad 195.430562*cm 0.000001*cm 200.1859369*cm 0*rad  | 
W-scintillator_21_s1_view_3_stack_2 |    ec_s1 | 50.046484*cm 97.8864805*cm 3.9372*cm | 0*deg 0*deg 62.88*deg |   G4Trap | 0.5*cm 0*rad 0*rad 178.176241*cm 219.5716442*cm 0.000001*cm -0.1036253*rad 178.176241*cm 219.5716442*cm 0.000001*cm -0.1036253*rad  | 
W_strip_21_1_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | -18.0152165*cm 173.226899*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 6.0992129*cm 0.0000006*cm -0.1036253*rad 4.94934*cm 6.0992129*cm 0.0000006*cm -0.1036253*rad  | 
W_strip_21_2_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | -16.9857756*cm 163.328219*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 12.1984252*cm 6.0992129*cm -0.1036253*rad 4.94934*cm 12.1984252*cm 6.0992129*cm -0.1036253*rad  | 
W_strip_21_3_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | -15.9563346*cm 153.429539*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 18.2976375*cm 12.1984252*cm -0.1036253*rad 4.94934*cm 18.2976375*cm 12.1984252*cm -0.1036253*rad  | 
W_strip_21_4_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | -14.9268937*cm 143.530859*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 24.3968498*cm 18.2976375*cm -0.1036253*rad 4.94934*cm 24.3968498*cm 18.2976375*cm -0.1036253*rad  | 
W_strip_21_5_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | -13.8974527*cm 133.632179*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 30.4960621*cm 24.3968498*cm -0.1036253*rad 4.94934*cm 30.4960621*cm 24.3968498*cm -0.1036253*rad  | 
W_strip_21_6_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | -12.8680118*cm 123.733499*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 36.5952744*cm 30.4960621*cm -0.1036253*rad 4.94934*cm 36.5952744*cm 30.4960621*cm -0.1036253*rad  | 
W_strip_21_7_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | -11.8385708*cm 113.834819*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 42.6944867*cm 36.5952744*cm -0.1036253*rad 4.94934*cm 42.6944867*cm 36.5952744*cm -0.1036253*rad  | 
W_strip_21_8_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | -10.8091299*cm 103.936139*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 48.7936991*cm 42.6944867*cm -0.1036253*rad 4.94934*cm 48.7936991*cm 42.6944867*cm -0.1036253*rad  | 
W_strip_21_9_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | -9.7796889*cm 94.037459*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 54.8929114*cm 48.7936991*cm -0.1036253*rad 4.94934*cm 54.8929114*cm 48.7936991*cm -0.1036253*rad  | 
W_strip_21_10_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | -8.750248*cm 84.138779*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 60.9921237*cm 54.8929114*cm -0.1036253*rad 4.94934*cm 60.9921237*cm 54.8929114*cm -0.1036253*rad  | 
W_strip_21_11_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | -7.720807*cm 74.240099*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 67.091336*cm 60.9921237*cm -0.1036253*rad 4.94934*cm 67.091336*cm 60.9921237*cm -0.1036253*rad  | 
W_strip_21_12_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | -6.6913661*cm 64.341419*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 73.1905483*cm 67.091336*cm -0.1036253*rad 4.94934*cm 73.1905483*cm 67.091336*cm -0.1036253*rad  | 
W_strip_21_13_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | -5.6619251*cm 54.442739*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 79.2897606*cm 73.1905483*cm -0.1036253*rad 4.94934*cm 79.2897606*cm 73.1905483*cm -0.1036253*rad  | 
W_strip_21_14_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | -4.6324842*cm 44.544059*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 85.3889729*cm 79.2897606*cm -0.1036253*rad 4.94934*cm 85.3889729*cm 79.2897606*cm -0.1036253*rad  | 
W_strip_21_15_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | -3.6030432*cm 34.645379*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 91.4881852*cm 85.3889729*cm -0.1036253*rad 4.94934*cm 91.4881852*cm 85.3889729*cm -0.1036253*rad  | 
W_strip_21_16_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | -2.5736023*cm 24.746699*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 97.5873975*cm 91.4881852*cm -0.1036253*rad 4.94934*cm 97.5873975*cm 91.4881852*cm -0.1036253*rad  | 
W_strip_21_17_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | -1.5441613*cm 14.848019*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 103.6866098*cm 97.5873975*cm -0.1036253*rad 4.94934*cm 103.6866098*cm 97.5873975*cm -0.1036253*rad  | 
W_strip_21_18_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | -0.5147204*cm 4.949339*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 109.7858221*cm 103.6866098*cm -0.1036253*rad 4.94934*cm 109.7858221*cm 103.6866098*cm -0.1036253*rad  | 
W_strip_21_19_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | 0.5147206*cm -4.949341*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 115.8850344*cm 109.7858221*cm -0.1036253*rad 4.94934*cm 115.8850344*cm 109.7858221*cm -0.1036253*rad  | 
W_strip_21_20_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | 1.5441615*cm -14.848021*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 121.9842467*cm 115.8850344*cm -0.1036253*rad 4.94934*cm 121.9842467*cm 115.8850344*cm -0.1036253*rad  | 
W_strip_21_21_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | 2.5736025*cm -24.746701*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 128.083459*cm 121.9842467*cm -0.1036253*rad 4.94934*cm 128.083459*cm 121.9842467*cm -0.1036253*rad  | 
W_strip_21_22_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | 3.6030434*cm -34.645381*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 134.1826713*cm 128.083459*cm -0.1036253*rad 4.94934*cm 134.1826713*cm 128.083459*cm -0.1036253*rad  | 
W_strip_21_23_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | 4.6324844*cm -44.544061*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 140.2818836*cm 134.1826713*cm -0.1036253*rad 4.94934*cm 140.2818836*cm 134.1826713*cm -0.1036253*rad  | 
W_strip_21_24_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | 5.6619253*cm -54.442741*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 146.3810959*cm 140.2818836*cm -0.1036253*rad 4.94934*cm 146.3810959*cm 140.2818836*cm -0.1036253*rad  | 
W_strip_21_25_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | 6.6913663*cm -64.341421*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 152.4803082*cm 146.3810959*cm -0.1036253*rad 4.94934*cm 152.4803082*cm 146.3810959*cm -0.1036253*rad  | 
W_strip_21_26_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | 7.7208072*cm -74.240101*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 158.5795205*cm 152.4803082*cm -0.1036253*rad 4.94934*cm 158.5795205*cm 152.4803082*cm -0.1036253*rad  | 
W_strip_21_27_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | 8.7502482*cm -84.138781*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 164.6787328*cm 158.5795205*cm -0.1036253*rad 4.94934*cm 164.6787328*cm 158.5795205*cm -0.1036253*rad  | 
W_strip_21_28_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | 9.7796891*cm -94.037461*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 170.7779451*cm 164.6787328*cm -0.1036253*rad 4.94934*cm 170.7779451*cm 164.6787328*cm -0.1036253*rad  | 
W_strip_21_29_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | 10.8091301*cm -103.936141*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 176.8771575*cm 170.7779451*cm -0.1036253*rad 4.94934*cm 176.8771575*cm 170.7779451*cm -0.1036253*rad  | 
W_strip_21_30_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | 11.838571*cm -113.834821*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 182.9763698*cm 176.8771575*cm -0.1036253*rad 4.94934*cm 182.9763698*cm 176.8771575*cm -0.1036253*rad  | 
W_strip_21_31_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | 12.868012*cm -123.733501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 189.0755821*cm 182.9763698*cm -0.1036253*rad 4.94934*cm 189.0755821*cm 182.9763698*cm -0.1036253*rad  | 
W_strip_21_32_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | 13.8974529*cm -133.632181*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 195.1747944*cm 189.0755821*cm -0.1036253*rad 4.94934*cm 195.1747944*cm 189.0755821*cm -0.1036253*rad  | 
W_strip_21_33_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | 14.9268939*cm -143.530861*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 201.2740067*cm 195.1747944*cm -0.1036253*rad 4.94934*cm 201.2740067*cm 195.1747944*cm -0.1036253*rad  | 
W_strip_21_34_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | 15.9563348*cm -153.429541*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 207.373219*cm 201.2740067*cm -0.1036253*rad 4.94934*cm 207.373219*cm 201.2740067*cm -0.1036253*rad  | 
W_strip_21_35_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | 16.9857758*cm -163.328221*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 213.4724313*cm 207.373219*cm -0.1036253*rad 4.94934*cm 213.4724313*cm 207.373219*cm -0.1036253*rad  | 
W_strip_21_36_s1_stack_2 | W-scintillator_21_s1_view_3_stack_2 | 18.0152167*cm -173.226901*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 219.5716436*cm 213.4724313*cm -0.1036253*rad 4.94934*cm 219.5716436*cm 213.4724313*cm -0.1036253*rad  | 
lead_22_s1_view_1_stack_2 |    ec_s1 | 0*cm 0.17976*cm 4.55635*cm | 0 0 0 |   G4Trap | 0.11905*cm 0*rad 0*rad 195.947281*cm 0.000001*cm 200.7152292*cm 0*rad 195.947281*cm 0.000001*cm 200.7152292*cm 0*rad  | 
U-scintillator_22_s1_view_1_stack_2 |    ec_s1 | 0*cm 0.17976*cm 5.1755*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 195.947281*cm 0.000001*cm 200.7152292*cm 0*rad 195.947281*cm 0.000001*cm 200.7152292*cm 0*rad  | 
U_strip_22_1_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm -190.504299*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 0.0000005*cm 5.5754235*cm 0*rad 5.44298*cm 0.0000005*cm 5.5754235*cm 0*rad  | 
U_strip_22_2_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm -179.618339*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 5.5754235*cm 11.1508465*cm 0*rad 5.44298*cm 5.5754235*cm 11.1508465*cm 0*rad  | 
U_strip_22_3_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm -168.732379*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 11.1508465*cm 16.7262695*cm 0*rad 5.44298*cm 11.1508465*cm 16.7262695*cm 0*rad  | 
U_strip_22_4_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm -157.846419*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 16.7262695*cm 22.3016925*cm 0*rad 5.44298*cm 16.7262695*cm 22.3016925*cm 0*rad  | 
U_strip_22_5_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm -146.960459*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 22.3016925*cm 27.8771155*cm 0*rad 5.44298*cm 22.3016925*cm 27.8771155*cm 0*rad  | 
U_strip_22_6_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm -136.074499*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 27.8771155*cm 33.4525385*cm 0*rad 5.44298*cm 27.8771155*cm 33.4525385*cm 0*rad  | 
U_strip_22_7_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm -125.188539*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 33.4525385*cm 39.0279615*cm 0*rad 5.44298*cm 33.4525385*cm 39.0279615*cm 0*rad  | 
U_strip_22_8_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm -114.302579*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 39.0279615*cm 44.6033846*cm 0*rad 5.44298*cm 39.0279615*cm 44.6033846*cm 0*rad  | 
U_strip_22_9_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm -103.416619*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 44.6033846*cm 50.1788076*cm 0*rad 5.44298*cm 44.6033846*cm 50.1788076*cm 0*rad  | 
U_strip_22_10_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm -92.530659*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 50.1788076*cm 55.7542306*cm 0*rad 5.44298*cm 50.1788076*cm 55.7542306*cm 0*rad  | 
U_strip_22_11_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm -81.644699*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 55.7542306*cm 61.3296536*cm 0*rad 5.44298*cm 55.7542306*cm 61.3296536*cm 0*rad  | 
U_strip_22_12_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm -70.758739*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 61.3296536*cm 66.9050766*cm 0*rad 5.44298*cm 61.3296536*cm 66.9050766*cm 0*rad  | 
U_strip_22_13_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm -59.872779*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 66.9050766*cm 72.4804996*cm 0*rad 5.44298*cm 66.9050766*cm 72.4804996*cm 0*rad  | 
U_strip_22_14_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm -48.986819*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 72.4804996*cm 78.0559226*cm 0*rad 5.44298*cm 72.4804996*cm 78.0559226*cm 0*rad  | 
U_strip_22_15_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm -38.100859*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 78.0559226*cm 83.6313456*cm 0*rad 5.44298*cm 78.0559226*cm 83.6313456*cm 0*rad  | 
U_strip_22_16_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm -27.214899*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 83.6313456*cm 89.2067686*cm 0*rad 5.44298*cm 83.6313456*cm 89.2067686*cm 0*rad  | 
U_strip_22_17_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm -16.328939*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 89.2067686*cm 94.7821916*cm 0*rad 5.44298*cm 89.2067686*cm 94.7821916*cm 0*rad  | 
U_strip_22_18_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm -5.442979*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 94.7821916*cm 100.3576146*cm 0*rad 5.44298*cm 94.7821916*cm 100.3576146*cm 0*rad  | 
U_strip_22_19_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm 5.442981*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 100.3576146*cm 105.9330376*cm 0*rad 5.44298*cm 100.3576146*cm 105.9330376*cm 0*rad  | 
U_strip_22_20_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm 16.328941*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 105.9330376*cm 111.5084606*cm 0*rad 5.44298*cm 105.9330376*cm 111.5084606*cm 0*rad  | 
U_strip_22_21_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm 27.214901*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 111.5084606*cm 117.0838836*cm 0*rad 5.44298*cm 111.5084606*cm 117.0838836*cm 0*rad  | 
U_strip_22_22_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm 38.100861*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 117.0838836*cm 122.6593066*cm 0*rad 5.44298*cm 117.0838836*cm 122.6593066*cm 0*rad  | 
U_strip_22_23_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm 48.986821*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 122.6593066*cm 128.2347296*cm 0*rad 5.44298*cm 122.6593066*cm 128.2347296*cm 0*rad  | 
U_strip_22_24_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm 59.872781*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 128.2347296*cm 133.8101526*cm 0*rad 5.44298*cm 128.2347296*cm 133.8101526*cm 0*rad  | 
U_strip_22_25_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm 70.758741*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 133.8101526*cm 139.3855756*cm 0*rad 5.44298*cm 133.8101526*cm 139.3855756*cm 0*rad  | 
U_strip_22_26_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm 81.644701*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 139.3855756*cm 144.9609986*cm 0*rad 5.44298*cm 139.3855756*cm 144.9609986*cm 0*rad  | 
U_strip_22_27_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm 92.530661*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 144.9609986*cm 150.5364216*cm 0*rad 5.44298*cm 144.9609986*cm 150.5364216*cm 0*rad  | 
U_strip_22_28_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm 103.416621*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 150.5364216*cm 156.1118446*cm 0*rad 5.44298*cm 150.5364216*cm 156.1118446*cm 0*rad  | 
U_strip_22_29_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm 114.302581*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 156.1118446*cm 161.6872677*cm 0*rad 5.44298*cm 156.1118446*cm 161.6872677*cm 0*rad  | 
U_strip_22_30_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm 125.188541*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 161.6872677*cm 167.2626907*cm 0*rad 5.44298*cm 161.6872677*cm 167.2626907*cm 0*rad  | 
U_strip_22_31_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm 136.074501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 167.2626907*cm 172.8381137*cm 0*rad 5.44298*cm 167.2626907*cm 172.8381137*cm 0*rad  | 
U_strip_22_32_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm 146.960461*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 172.8381137*cm 178.4135367*cm 0*rad 5.44298*cm 172.8381137*cm 178.4135367*cm 0*rad  | 
U_strip_22_33_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm 157.846421*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 178.4135367*cm 183.9889597*cm 0*rad 5.44298*cm 178.4135367*cm 183.9889597*cm 0*rad  | 
U_strip_22_34_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm 168.732381*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 183.9889597*cm 189.5643827*cm 0*rad 5.44298*cm 183.9889597*cm 189.5643827*cm 0*rad  | 
U_strip_22_35_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm 179.618341*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 189.5643827*cm 195.1398057*cm 0*rad 5.44298*cm 189.5643827*cm 195.1398057*cm 0*rad  | 
U_strip_22_36_s1_stack_2 | U-scintillator_22_s1_view_1_stack_2 | 0*cm 190.504301*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 195.1398057*cm 200.7152287*cm 0*rad 5.44298*cm 195.1398057*cm 200.7152287*cm 0*rad  | 
lead_23_s1_view_2_stack_2 |    ec_s1 | 0*cm 0.18832*cm 5.79465*cm | 0 0 0 |   G4Trap | 0.11905*cm 0*rad 0*rad 196.3225549*cm 0.000001*cm 201.0996346*cm 0*rad 196.3225549*cm 0.000001*cm 201.0996346*cm 0*rad  | 
V-scintillator_23_s1_view_2_stack_2 |    ec_s1 | -50.2749084*cm 98.349597*cm 6.4138*cm | 0*deg 180*deg 62.88*deg |   G4Trap | 0.5*cm 0*rad 0*rad 178.989481*cm 220.573823*cm 0.000001*cm -0.1036253*rad 178.989481*cm 220.573823*cm 0.000001*cm -0.1036253*rad  | 
V_strip_23_1_s1_stack_2 | V-scintillator_23_s1_view_2_stack_2 | -18.0974424*cm 174.017549*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.97193*cm 6.1270512*cm 0.0000006*cm -0.1036253*rad 4.97193*cm 6.1270512*cm 0.0000006*cm -0.1036253*rad  | 
V_strip_23_2_s1_stack_2 | V-scintillator_23_s1_view_2_stack_2 | -17.0633028*cm 164.073689*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.97193*cm 12.2541018*cm 6.1270512*cm -0.1036253*rad 4.97193*cm 12.2541018*cm 6.1270512*cm -0.1036253*rad  | 
V_strip_23_3_s1_stack_2 | V-scintillator_23_s1_view_2_stack_2 | -16.0291632*cm 154.129829*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.97193*cm 18.3811524*cm 12.2541018*cm -0.1036253*rad 4.97193*cm 18.3811524*cm 12.2541018*cm -0.1036253*rad  | 
V_strip_23_4_s1_stack_2 | V-scintillator_23_s1_view_2_stack_2 | -14.9950237*cm 144.185969*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.97193*cm 24.508203*cm 18.3811524*cm -0.1036253*rad 4.97193*cm 24.508203*cm 18.3811524*cm -0.1036253*rad  | 
V_strip_23_5_s1_stack_2 | V-scintillator_23_s1_view_2_stack_2 | -13.9608841*cm 134.242109*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.97193*cm 30.6352536*cm 24.508203*cm -0.1036253*rad 4.97193*cm 30.6352536*cm 24.508203*cm -0.1036253*rad  | 
V_strip_23_6_s1_stack_2 | V-scintillator_23_s1_view_2_stack_2 | -12.9267445*cm 124.298249*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.97193*cm 36.7623042*cm 30.6352536*cm -0.1036253*rad 4.97193*cm 36.7623042*cm 30.6352536*cm -0.1036253*rad  | 
V_strip_23_7_s1_stack_2 | V-scintillator_23_s1_view_2_stack_2 | -11.8926049*cm 114.354389*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.97193*cm 42.8893548*cm 36.7623042*cm -0.1036253*rad 4.97193*cm 42.8893548*cm 36.7623042*cm -0.1036253*rad  | 
