             ec_s1 |       fc | 227.2889756*cm -0.752*cm 731.8939964*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 26.7767*cm 0*rad 0*rad 204.35336*cm 0.000001*cm 209.3246351*cm 0*rad 204.35336*cm 0.000001*cm 209.3246351*cm 0*rad  | 
W_strip_21_5_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | -13.8974527*cm 133.632179*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 30.4960621*cm 24.3968498*cm -0.1036253*rad 4.94934*cm 30.4960621*cm 24.3968498*cm -0.1036253*rad  | 
W_strip_21_6_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | -12.8680118*cm 123.733499*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 36.5952744*cm 30.4960621*cm -0.1036253*rad 4.94934*cm 36.5952744*cm 30.4960621*cm -0.1036253*rad  | 
W_strip_21_7_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | -11.8385708*cm 113.834819*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 42.6944867*cm 36.5952744*cm -0.1036253*rad 4.94934*cm 42.6944867*cm 36.5952744*cm -0.1036253*rad  | 
W_strip_21_8_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | -10.8091299*cm 103.936139*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 48.7936991*cm 42.6944867*cm -0.1036253*rad 4.94934*cm 48.7936991*cm 42.6944867*cm -0.1036253*rad  | 
W_strip_21_9_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | -9.7796889*cm 94.037459*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 54.8929114*cm 48.7936991*cm -0.1036253*rad 4.94934*cm 54.8929114*cm 48.7936991*cm -0.1036253*rad  | 
W_strip_21_10_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | -8.750248*cm 84.138779*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 60.9921237*cm 54.8929114*cm -0.1036253*rad 4.94934*cm 60.9921237*cm 54.8929114*cm -0.1036253*rad  | 
W_strip_21_11_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | -7.720807*cm 74.240099*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 67.091336*cm 60.9921237*cm -0.1036253*rad 4.94934*cm 67.091336*cm 60.9921237*cm -0.1036253*rad  | 
W_strip_21_12_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | -6.6913661*cm 64.341419*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 73.1905483*cm 67.091336*cm -0.1036253*rad 4.94934*cm 73.1905483*cm 67.091336*cm -0.1036253*rad  | 
W_strip_21_13_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | -5.6619251*cm 54.442739*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 79.2897606*cm 73.1905483*cm -0.1036253*rad 4.94934*cm 79.2897606*cm 73.1905483*cm -0.1036253*rad  | 
W_strip_21_14_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | -4.6324842*cm 44.544059*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 85.3889729*cm 79.2897606*cm -0.1036253*rad 4.94934*cm 85.3889729*cm 79.2897606*cm -0.1036253*rad  | 
W_strip_21_15_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | -3.6030432*cm 34.645379*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 91.4881852*cm 85.3889729*cm -0.1036253*rad 4.94934*cm 91.4881852*cm 85.3889729*cm -0.1036253*rad  | 
W_strip_21_16_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | -2.5736023*cm 24.746699*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 97.5873975*cm 91.4881852*cm -0.1036253*rad 4.94934*cm 97.5873975*cm 91.4881852*cm -0.1036253*rad  | 
W_strip_21_17_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | -1.5441613*cm 14.848019*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 103.6866098*cm 97.5873975*cm -0.1036253*rad 4.94934*cm 103.6866098*cm 97.5873975*cm -0.1036253*rad  | 
W_strip_21_18_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | -0.5147204*cm 4.949339*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 109.7858221*cm 103.6866098*cm -0.1036253*rad 4.94934*cm 109.7858221*cm 103.6866098*cm -0.1036253*rad  | 
W_strip_21_19_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | 0.5147206*cm -4.949341*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 115.8850344*cm 109.7858221*cm -0.1036253*rad 4.94934*cm 115.8850344*cm 109.7858221*cm -0.1036253*rad  | 
W_strip_21_20_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | 1.5441615*cm -14.848021*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 121.9842467*cm 115.8850344*cm -0.1036253*rad 4.94934*cm 121.9842467*cm 115.8850344*cm -0.1036253*rad  | 
W_strip_21_21_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | 2.5736025*cm -24.746701*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 128.083459*cm 121.9842467*cm -0.1036253*rad 4.94934*cm 128.083459*cm 121.9842467*cm -0.1036253*rad  | 
W_strip_21_22_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | 3.6030434*cm -34.645381*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 134.1826713*cm 128.083459*cm -0.1036253*rad 4.94934*cm 134.1826713*cm 128.083459*cm -0.1036253*rad  | 
W_strip_21_23_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | 4.6324844*cm -44.544061*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 140.2818836*cm 134.1826713*cm -0.1036253*rad 4.94934*cm 140.2818836*cm 134.1826713*cm -0.1036253*rad  | 
W_strip_21_24_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | 5.6619253*cm -54.442741*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 146.3810959*cm 140.2818836*cm -0.1036253*rad 4.94934*cm 146.3810959*cm 140.2818836*cm -0.1036253*rad  | 
W_strip_21_25_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | 6.6913663*cm -64.341421*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 152.4803082*cm 146.3810959*cm -0.1036253*rad 4.94934*cm 152.4803082*cm 146.3810959*cm -0.1036253*rad  | 
W_strip_21_26_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | 7.7208072*cm -74.240101*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 158.5795205*cm 152.4803082*cm -0.1036253*rad 4.94934*cm 158.5795205*cm 152.4803082*cm -0.1036253*rad  | 
W_strip_21_27_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | 8.7502482*cm -84.138781*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 164.6787328*cm 158.5795205*cm -0.1036253*rad 4.94934*cm 164.6787328*cm 158.5795205*cm -0.1036253*rad  | 
W_strip_21_28_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | 9.7796891*cm -94.037461*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 170.7779451*cm 164.6787328*cm -0.1036253*rad 4.94934*cm 170.7779451*cm 164.6787328*cm -0.1036253*rad  | 
W_strip_21_29_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | 10.8091301*cm -103.936141*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 176.8771575*cm 170.7779451*cm -0.1036253*rad 4.94934*cm 176.8771575*cm 170.7779451*cm -0.1036253*rad  | 
W_strip_21_30_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | 11.838571*cm -113.834821*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 182.9763698*cm 176.8771575*cm -0.1036253*rad 4.94934*cm 182.9763698*cm 176.8771575*cm -0.1036253*rad  | 
W_strip_21_31_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | 12.868012*cm -123.733501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 189.0755821*cm 182.9763698*cm -0.1036253*rad 4.94934*cm 189.0755821*cm 182.9763698*cm -0.1036253*rad  | 
W_strip_21_32_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | 13.8974529*cm -133.632181*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 195.1747944*cm 189.0755821*cm -0.1036253*rad 4.94934*cm 195.1747944*cm 189.0755821*cm -0.1036253*rad  | 
W_strip_21_33_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | 14.9268939*cm -143.530861*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 201.2740067*cm 195.1747944*cm -0.1036253*rad 4.94934*cm 201.2740067*cm 195.1747944*cm -0.1036253*rad  | 
W_strip_21_34_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | 15.9563348*cm -153.429541*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 207.373219*cm 201.2740067*cm -0.1036253*rad 4.94934*cm 207.373219*cm 201.2740067*cm -0.1036253*rad  | 
W_strip_21_35_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | 16.9857758*cm -163.328221*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 213.4724313*cm 207.373219*cm -0.1036253*rad 4.94934*cm 213.4724313*cm 207.373219*cm -0.1036253*rad  | 
W_strip_21_36_s4_stack_2 | W-scintillator_21_s4_view_3_stack_2 | 18.0152167*cm -173.226901*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.94934*cm 219.5716436*cm 213.4724313*cm -0.1036253*rad 4.94934*cm 219.5716436*cm 213.4724313*cm -0.1036253*rad  | 
lead_22_s4_view_1_stack_2 |    ec_s4 | 0*cm 0.17976*cm 4.55635*cm | 0 0 0 |   G4Trap | 0.11905*cm 0*rad 0*rad 195.947281*cm 0.000001*cm 200.7152292*cm 0*rad 195.947281*cm 0.000001*cm 200.7152292*cm 0*rad  | 
U-scintillator_22_s4_view_1_stack_2 |    ec_s4 | 0*cm 0.17976*cm 5.1755*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 195.947281*cm 0.000001*cm 200.7152292*cm 0*rad 195.947281*cm 0.000001*cm 200.7152292*cm 0*rad  | 
U_strip_22_1_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm -190.504299*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 0.0000005*cm 5.5754235*cm 0*rad 5.44298*cm 0.0000005*cm 5.5754235*cm 0*rad  | 
U_strip_22_2_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm -179.618339*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 5.5754235*cm 11.1508465*cm 0*rad 5.44298*cm 5.5754235*cm 11.1508465*cm 0*rad  | 
U_strip_22_3_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm -168.732379*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 11.1508465*cm 16.7262695*cm 0*rad 5.44298*cm 11.1508465*cm 16.7262695*cm 0*rad  | 
