              sc47 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22  47
              sc48 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22  48
             lgd01 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd02 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd03 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd04 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd05 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd06 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd07 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd08 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd09 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd10 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd11 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd12 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd13 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd14 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd15 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd16 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd17 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd18 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd19 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd20 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd21 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
             lgd22 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  | 
