                 BMT  |                root  |Barrel Micromegas Vertex Tracker  |                                0*mm 0*mm -94.7*mm  |                       0*deg 0*deg 0*deg  |aaaaff3   |                Tube  |              140.000*mm 240.000*mm 385.000*mm 0*deg 360*deg  |               myAir  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
BMT_ResistStrips_C_Layer1_Segment01  |                 BMT  |ResistStrips C, Layer 1,  Segment 01  |                               0*mm 0*mm 146.79*mm  |                    0*deg 0*deg -150*deg  | 000000   |                Tube  |145.969584*mm 145.989584*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |  mybmtc4ResistPaste  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_ResistStrips_C_Layer1_Segment02  |                 BMT  |ResistStrips C, Layer 1,  Segment 02  |                               0*mm 0*mm 146.79*mm  |                     0*deg 0*deg -30*deg  | 000000   |                Tube  |145.969584*mm 145.989584*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |  mybmtc4ResistPaste  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_ResistStrips_C_Layer1_Segment03  |                 BMT  |ResistStrips C, Layer 1,  Segment 03  |                               0*mm 0*mm 146.79*mm  |                      0*deg 0*deg 90*deg  | 000000   |                Tube  |145.969584*mm 145.989584*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |  mybmtc4ResistPaste  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Gas1_C_Layer1_Segment01  |                 BMT  |  Gas1 C, Layer 1,  Segment 01  |                               0*mm 0*mm 146.79*mm  |                    0*deg 0*deg -150*deg  |e868504   |                Tube  |145.989584*mm 146.117584*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |          mybmtMMGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Gas1_C_Layer1_Segment02  |                 BMT  |  Gas1 C, Layer 1,  Segment 02  |                               0*mm 0*mm 146.79*mm  |                     0*deg 0*deg -30*deg  |e868504   |                Tube  |145.989584*mm 146.117584*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |          mybmtMMGas  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Gas1_C_Layer1_Segment03  |                 BMT  |  Gas1 C, Layer 1,  Segment 03  |                               0*mm 0*mm 146.79*mm  |                      0*deg 0*deg 90*deg  |e868504   |                Tube  |145.989584*mm 146.117584*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |          mybmtMMGas  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Mesh_C_Layer1_Segment01  |                 BMT  |  Mesh C, Layer 1,  Segment 01  |                               0*mm 0*mm 146.79*mm  |                    0*deg 0*deg -150*deg  | 252020   |                Tube  |146.117584*mm 146.135584*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |         mybmtMMMesh  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Mesh_C_Layer1_Segment02  |                 BMT  |  Mesh C, Layer 1,  Segment 02  |                               0*mm 0*mm 146.79*mm  |                     0*deg 0*deg -30*deg  | 252020   |                Tube  |146.117584*mm 146.135584*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |         mybmtMMMesh  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Mesh_C_Layer1_Segment03  |                 BMT  |  Mesh C, Layer 1,  Segment 03  |                               0*mm 0*mm 146.79*mm  |                      0*deg 0*deg 90*deg  | 252020   |                Tube  |146.117584*mm 146.135584*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |         mybmtMMMesh  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Gas2_C_Layer1_Segment01  |                 BMT  | Gas2 C, Layer 1,   Segment 01  |                               0*mm 0*mm 146.79*mm  |                    0*deg 0*deg -150*deg  |e868504   |                Tube  |146.135584*mm 149.135584*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |          mybmtMMGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bmt  |                 bmt  |superlayer manual 1 type manual 1 segment manual 1 strip manual 1 
BMT_Gas2_C_Layer1_Segment02  |                 BMT  | Gas2 C, Layer 1,   Segment 02  |                               0*mm 0*mm 146.79*mm  |                     0*deg 0*deg -30*deg  |e868504   |                Tube  |146.135584*mm 149.135584*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |          mybmtMMGas  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bmt  |                 bmt  |superlayer manual 1 type manual 1 segment manual 2 strip manual 1 
BMT_Gas2_C_Layer1_Segment03  |                 BMT  | Gas2 C, Layer 1,   Segment 03  |                               0*mm 0*mm 146.79*mm  |                      0*deg 0*deg 90*deg  |e868504   |                Tube  |146.135584*mm 149.135584*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |          mybmtMMGas  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bmt  |                 bmt  |superlayer manual 1 type manual 1 segment manual 3 strip manual 1 
BMT_DriftCuElectrode_C_Layer1_Segment01  |                 BMT  |DriftCuElectrode C, Layer 1,  Segment 01  |                               0*mm 0*mm 146.79*mm  |                    0*deg 0*deg -150*deg  | 666600   |                Tube  |149.135584*mm 149.135704*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuElectrode_C_Layer1_Segment02  |                 BMT  |DriftCuElectrode C, Layer 1,  Segment 02  |                               0*mm 0*mm 146.79*mm  |                     0*deg 0*deg -30*deg  | 666600   |                Tube  |149.135584*mm 149.135704*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |            myCopper  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuElectrode_C_Layer1_Segment03  |                 BMT  |DriftCuElectrode C, Layer 1,  Segment 03  |                               0*mm 0*mm 146.79*mm  |                      0*deg 0*deg 90*deg  | 666600   |                Tube  |149.135584*mm 149.135704*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |            myCopper  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftKapton_C_Layer1_Segment01  |                 BMT  |DriftKapton C, Layer 1,  Segment 01  |                                0*mm 0*mm 152.5*mm  |                    0*deg 0*deg -150*deg  | fff600   |                Tube  |149.135704*mm 149.385704*mm 224.5*mm 1.15255659060185*deg 117.694886818796*deg  |            myKapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftKapton_C_Layer1_Segment02  |                 BMT  |DriftKapton C, Layer 1,  Segment 02  |                                0*mm 0*mm 152.5*mm  |                     0*deg 0*deg -30*deg  | fff600   |                Tube  |149.135704*mm 149.385704*mm 224.5*mm 1.15255659060185*deg 117.694886818796*deg  |            myKapton  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
