vcc_frame | ps_field | PS Vacuum Box + Tr2 Frame | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | 000000 | Operation: vcb_frame + vca_trd2 | 0.0*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
vcd_frame | ps_field | PS Vacuum Box + Flange | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | 000000 | Operation: vcc_frame + vca_flange | 0.0*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
vce_frame | ps_field | PS Frame - Box | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | 000000 | Operation: vcd_frame - vca_vbox | 0.0*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
vcf_frame | ps_field | PS Vacuum Box+Trapezoid Frame - Box - Tr1 | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | 000000 | Operation: vce_frame - vca_vtrd1 | 0.0*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
vcg_frame | ps_field | PS Vacuum Box+Trapezoid Frame - Box Tr1 - Tr2 | 0.0*cm 0.0*cm 32.004*cm  | 0.0*deg 0.0*deg 0.0*deg  | dcdcf2 | Operation: vcf_frame - vca_vtrd2 | 0.0*cm  | StainlessSteel | no | 1 | 1 | 1 | 1 | 0 | no |  |  
last_vacuum_chamber_outer | root | Last Vacuum Box | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Box | 22.0726*cm 3.81*cm 68.0212*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
last_vacuum_chamber_inner | root | Last Vacuum Box | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Box | 20.955*cm 2.54*cm 73.1012*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
upstream_flange_outer | root | Last Vacuum Chamber Flange | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Box | 27.305*cm 8.001*cm 0.9525*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
upstream_flange_inner | root | Last Vacuum Chamber Flange | 0.33274*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Box | 17.145*cm 3.175*cm 6.0325*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
downstream_flange | root | Last Vacuum Chamber downstream Flange | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Box | 22.0726*cm 3.81*cm 0.635*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
electron_tube | root | Hole for Electrons | 0.0*cm 0.0*cm 3.81*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Tube | 2.8575*cm 3.175*cm 3.81*cm 0.0*deg 360.0*deg  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
electron_hole1 | root | Hole for Electrons | 0.0*cm 0.0*cm 3.81*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Tube | 0.0*cm 2.8575*cm 8.89*cm 0.0*deg 360.0*deg  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
lv_photon_tube | root | Hole for Photons | 15.8242*cm 0.0*cm 3.81*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Tube | 2.8575*cm 3.175*cm 3.81*cm 0.0*deg 360.0*deg  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
photon_hole1 | root | Hole for Photons | 15.8242*cm 0.0*cm 3.81*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Tube | 0.0*cm 2.8575*cm 8.89*cm 0.0*deg 360.0*deg  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
last_vacuum_chamber_frame | root | Last Vacuum Box | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Operation: last_vacuum_chamber_outer - last_vacuum_chamber_inner | 0.0*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
upstream_flange_frame | root | Last Vacuum Chamber Flange | -3.98526*cm 0.0*cm -68.9737*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Operation: upstream_flange_outer - upstream_flange_inner | 0.0*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
dsflange_etube | root | last flange with electron tube | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Operation: downstream_flange + electron_tube | 0.0*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
dsflange_etube2 | root | last flange with electron tube | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Operation: dsflange_etube - electron_hole1 | 0.0*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
dsflange_tubes | root | last flange with both tubes | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Operation: dsflange_etube2 + lv_photon_tube | 0.0*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
dsflange_tubes2 | root | last flange with both tubes | 0.0*cm 0.0*cm 68.6562*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Operation: dsflange_tubes - photon_hole1 | 0.0*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
chamber_flange | root | Last Chamber with flange | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Operation: last_vacuum_chamber_frame + upstream_flange_frame | 0.0*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
last_vacuum_chamber | root | Last Chamber with flange and holes for e and g | 0.0*cm 0*cm 246.6212*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Operation: chamber_flange + dsflange_tubes2 | 0.0*cm  | StainlessSteel | no | 1 | 1 | 1 | 1 | 1 | no |  |  
target | ps_field |  | -2.142*cm 0*cm 0*cm  | 0.0*deg 0.0*deg 0.0*deg  | ff3344 | Tube | 0*mm 10.0*mm 0.004375*mm 0*deg 360*deg  | G4_W | no | 1 | 1 | 1 | 1 | 1 | flux | flux | id manual 111 
alignement_tube1 | root | Beam alignment tube 1, at 10m | 0.0*cm 0*cm 1000.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | 005500 | Tube | 0*cm 2*cm 10*cm 0*deg 360*deg  | Vacuum | no | 1 | 1 | 1 | 1 | 1 | flux | flux | id manual 101 
alignement_tube2 | root | Beam alignment tube 2, at 20m | 0.0*cm 0*cm 1900.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | 005500 | Tube | 0*cm 2*cm 10*cm 0*deg 360*deg  | Vacuum | no | 1 | 1 | 1 | 1 | 1 | flux | flux | id manual 102 
ECAL | ps_field | ECAL mother volume | 0*mm 0*mm 1541.0*mm  | 0*rad 0*rad 0*rad  | ffff559 | Box | 430.0*mm 228.6*mm 225.0*mm  | Vacuum | no | 1 | 1 | 1 | 0 | 0 | no |  |  
ECAL_0 | ECAL | ECAL Crystal (1,1) | 28.8010764445*mm 27.3325*mm -67.013923069*mm  | 0.00834384687325*rad -0.00834438166317*rad -6.96250505332e-05*rad  | BBA7FF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 1 idy manual 1  
ECAL_1 | ECAL | ECAL Crystal (2,1) | 43.6429281857*mm 27.3325*mm -67.0362014107*mm  | 0.00834617140566*rad -0.0250331448277*rad -0.00020891394472*rad  | BBBBFF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 2 idy manual 1  
ECAL_2 | ECAL | ECAL Crystal (3,1) | 58.4898791666*mm 27.3325*mm -67.0807518891*mm  | 0.00835082370978*rad -0.0417219075063*rad -0.000348319304764*rad  | BBA7FF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 3 idy manual 1  
ECAL_3 | ECAL | ECAL Crystal (4,1) | 73.3453378329*mm 27.3325*mm -67.1475620956*mm  | 0.00835781027525*rad -0.0584106693739*rad -0.000487919063291*rad  | BBBBFF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 4 idy manual 1  
ECAL_4 | ECAL | ECAL Crystal (5,1) | 88.2127260907*mm 27.3325*mm -67.2366134216*mm  | 0.00836714086416*rad -0.0750994301036*rad -0.000627791587452*rad  | BBA7FF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 5 idy manual 1  
ECAL_5 | ECAL | ECAL Crystal (6,1) | 103.095484754*mm 27.3325*mm -67.3478810639*mm  | 0.00837882854438*rad -0.0917881893658*rad -0.000768015855618*rad  | BBBBFF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 6 idy manual 1  
