           RICH_s4 |       fc | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_18 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_19 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_20 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_21 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_22 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_23 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_24 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_25 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_26 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_27 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_28 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_29 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_30 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_31 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_32 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_1 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_2 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_3 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_4 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_5 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_6 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_7 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_8 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_9 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_10 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_11 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_12 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_13 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_14 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_15 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_16 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_17 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_18 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_19 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_20 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_21 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_22 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_23 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_24 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_25 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_26 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_27 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_28 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_29 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_30 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_31 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_204_component_32 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_301_component_1 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_301_component_2 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_301_component_3 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_301_component_4 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_301_component_5 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_301_component_6 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_301_component_7 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_302_component_1 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_302_component_2 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
